职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求
环境安全专家,信息安全,45000.0,建信金融科技有限责任公司,北京,5,本科,
移动互联网和车联网安全研究员SBZ33,信息安全,15000.0,中国信息通信研究院,北京,1,硕士,
信息安全工程师,信息安全,6000.0,广州竞远系统网络技术有限公司,广州,0,本科,
信息安全负责人,信息安全,67500.0,上海祺玖电子商务有限公司,上海,1,硕士,
安全咨询顾问（合规方向）,信息安全,20000.0,北京长亭科技有限公司,北京,3,本科,
高级信息安全工程师,信息安全,35000.0,上海彩亿信息技术有限公司,上海,5,大专,
安全开发研发主管,信息安全,20000.0,深圳安巽科技有限公司,深圳,3,本科,
安全服务工程师（广州）,信息安全,15000.0,北京启明星辰信息安全技术有限公司,广州,0,大专,
安全咨询顾问（上海）,信息安全,20000.0,北京神州绿盟信息安全科技股份有限公司,上海,3,大专,
安全技术工程师,信息安全,20000.0,招联消费金融有限公司,深圳,3,本科,
安全SDLC负责人,信息安全,65000.0,北京字节跳动科技有限公司,北京,1,本科,
安全开发经理,信息安全,39000.0,深圳市联软科技股份有限公司,深圳,5,本科,
信息安全经理,信息安全,27500.0,易佰得（丹阳）光学有限公司上海分公司,上海,5,本科,
应用安全工程师,信息安全,30000.0,杭州喜兔科技有限公司,杭州,5,本科,
信息安全产品运营(J190626002),信息安全,32500.0,北京嘀嘀无限科技发展有限公司,北京,3,本科,
高级安全工程师,信息安全,30000.0,北京字节跳动科技有限公司,北京,1,本科,
安全服务工程师-00243,信息安全,25000.0,紫光云技术有限公司,北京,3,本科,
应用安全工程师,信息安全,24000.0,万翼科技有限公司,深圳,5,本科,
高级安全工程师,信息安全,32500.0,小花互联网金融服务（深圳）有限公司,深圳,3,本科,
安全技术专家/高级安全工程师,信息安全,25000.0,鹏元征信有限公司,深圳,5,大专,
1121AH-安全技术顾问,信息安全,17500.0,平安科技（深圳）有限公司,上海,3,本科,
基础安全负责人,信息安全,52500.0,北京智者天下科技有限公司,北京,5,不限,
安全工程师,信息安全,11500.0,成都知道创宇信息技术有限公司,厦门,1,本科,
安全技术专家(金融方向—西安),信息安全,27500.0,华软金信科技（北京）有限公司,西安,5,本科,
关键技术安全研究员SAQ55,信息安全,11000.0,中国信息通信研究院,北京,1,硕士,
安全分析师,信息安全,10500.0,北京网思科平科技有限公司,成都,1,大专,
高级安全开发工程师 (MJ000768),信息安全,26000.0,北京蚂蜂窝网络科技有限公司,北京,3,本科,
信息安全运维工程师,信息安全,22500.0,马上消费金融股份有限公司,北京,3,大专,
高级安全工程师,信息安全,40000.0,深圳知云网络科技有限公司,深圳,5,本科,
安全管理工程师,信息安全,17500.0,上证所信息网络有限公司,上海,0,本科,
安全研究负责人,信息安全,65000.0,北京字节跳动科技有限公司,北京,1,本科,
资深安全专家,信息安全,45000.0,北京墨云科技有限公司,北京,5,不限,
16078-信息安全技术支持工程师（北京）,信息安全,27000.0,腾讯科技（深圳）有限公司,北京,1,本科,
安全体系顾问,信息安全,25000.0,北京同仁堂健康药业股份有限公司,北京,3,本科,
工控安全研发经理,信息安全,37500.0,深圳市联软科技股份有限公司,深圳,5,本科,
安全开发,信息安全,37500.0,好宣（上海）科技有限公司,深圳,3,不限,
高级安全开发工程师,信息安全,30000.0,上海点融信息科技有限责任公司,上海,3,本科,
网络及安全管理工程师 (MJ000556),信息安全,14000.0,苏州叠纸网络科技股份有限公司,上海,3,不限,
安全产品经理,信息安全,30000.0,车好多旧机动车经纪（北京）有限公司,北京,3,本科,
安全工程师,信息安全,11500.0,成都知道创宇信息技术有限公司,深圳,1,本科,
安全架构师,信息安全,40000.0,北京小马智行科技有限公司,北京,3,本科,
安全算法工程师,信息安全,30000.0,矩阵元技术（深圳）有限公司,上海,3,硕士,
应用安全工程师,信息安全,37500.0,北京外研在线数字科技有限公司,北京,3,本科,
智慧安全资深顾问,信息安全,15000.0,北京神州绿盟信息安全科技股份有限公司,北京,5,本科,
基础安全负责人,信息安全,65000.0,北京字节跳动科技有限公司,北京,1,本科,
工控安全研发经理,信息安全,34500.0,深圳市联软科技股份有限公司,深圳,5,不限,
高级安全开发工程师,信息安全,22500.0,上海点融信息科技有限责任公司,上海,1,大专,
信息安全项目经理,信息安全,8500.0,四川奥诚科技有限责任公司,成都,3,大专,
1121KQ-安全产品经理,信息安全,22500.0,平安科技（深圳）有限公司,上海,3,本科,
物联网安全工程师,信息安全,12000.0,成都安舟信息技术有限公司,成都,0,硕士,
4721CL-智慧法律-高级安全系统工程师,信息安全,20000.0,平安国际智慧城市科技股份有限公司,深圳,3,本科,
信息安全咨询工程师,信息安全,7500.0,上海博弋信息科技有限公司,上海,1,本科,
信息安全审计专家,信息安全,40000.0,招商银行股份有限公司信用卡中心,上海,3,本科,
安全架构师,信息安全,30000.0,上海帆一尚行科技有限公司,上海,5,本科,
高级安全攻防工程师,信息安全,45000.0,广东美的制冷设备有限公司,佛山,3,本科,
应用安全工程师,信息安全,15000.0,深圳市彬讯科技有限公司,深圳,3,本科,
安全分析工程师,信息安全,19000.0,杭州大乘智能科技有限公司,杭州,3,不限,
安全产品总监,信息安全,45000.0,北京墨云科技有限公司,北京,5,本科,
安全技术应用岗,信息安全,18000.0,东莞银行股份有限公司,东莞,3,本科,
安全评估负责人,信息安全,65000.0,北京字节跳动科技有限公司,北京,1,本科,
安全产品经理,信息安全,22500.0,深圳市联软科技股份有限公司,深圳,3,本科,
信息安全产品经理,信息安全,15000.0,上海端御信息科技有限公司,上海,3,大专,
安全高级开发工程师,信息安全,37500.0,广州市百果园网络科技有限公司,北京,3,本科,
安全开发工程师(J10237),信息安全,20000.0,成都知道创宇信息技术有限公司,北京,3,不限,
高级安全技术工程师,信息安全,24000.0,中移（上海）信息通信科技有限公司,上海,3,硕士,
0222UO-信息安全审计工程师,信息安全,15000.0,中国平安人寿保险股份有限公司,深圳,3,本科,
安全架构师,信息安全,40000.0,上海拍拍贷金融信息服务有限公司,上海,5,本科,
信息合规安全工程师,信息安全,27500.0,无线生活（北京）信息技术有限公司,杭州,3,本科,
安全工程师,信息安全,10000.0,深圳市魔方安全科技有限公司,深圳,1,大专,
安全专家,信息安全,40000.0,北京云途时代影业科技有限公司,北京,3,本科,
高级安全顾问-营销线(J11778),信息安全,25000.0,北京神州绿盟信息安全科技股份有限公司,北京,5,本科,
1121HR-安全解决方案技术顾问,信息安全,20000.0,平安科技（深圳）有限公司,深圳,3,本科,
安全服务咨询专家,信息安全,26500.0,深信服科技股份有限公司,北京,5,不限,
安全工程师,信息安全,27500.0,北京沃丰时代数据科技有限公司,北京,5,本科,
反作弊产品经理-安全产品方向,信息安全,26500.0,北京字节跳动科技有限公司,北京,3,本科,
安全架构师,信息安全,60000.0,深圳金融科技研究院（中国人民银行金融科技研究院）,北京,5,硕士,
【杭州】电商安全工程师(000640),信息安全,25000.0,宝宝树（北京）信息技术有限公司,杭州,3,不限,
安全风险与合规工程师,信息安全,22500.0,上海帆一尚行科技有限公司,上海,3,不限,
应用安全攻防工程师 06-07-86,信息安全,22500.0,杭州大搜车汽车服务有限公司,杭州,5,本科,
信息安全软件销售,信息安全,9000.0,北京安信天行科技有限公司,北京,0,大专,
安全算法专家,信息安全,45000.0,矩阵元技术（深圳）有限公司,上海,5,博士,
数据安全工程师,信息安全,30000.0,车好多旧机动车经纪（北京）有限公司,北京,3,本科,
安全架构师,信息安全,23500.0,联通（广东）产业互联网有限公司,广州,3,本科,
【2020校招】数据安全工程师,信息安全,20000.0,北京陌陌科技有限公司,北京,0,本科,
安全工程师,信息安全,15000.0,国网汇通金财（北京）信息科技有限公司,北京,1,本科,
信息安全售前工程师,信息安全,10000.0,四川奥诚科技有限责任公司,成都,1,本科,
网络信息安全,信息安全,12000.0,阳光保险集团股份有限公司,北京,0,本科,
安全工程师,信息安全,30000.0,北京京东世纪贸易有限公司,北京,5,本科,
36212M-信息安全运营工程师,信息安全,24000.0,重庆金融资产交易所有限责任公司,重庆,5,本科,
安全技术工程师(J10219),信息安全,9000.0,成都知道创宇信息技术有限公司,北京,3,本科,
网络安全工程师,信息安全,22500.0,深圳市云歌人工智能技术有限公司,深圳,3,不限,
信息安全项目经理,信息安全,30000.0,斯坦（深圳）科技有限公司,深圳,3,本科,
信息安全运营岗,信息安全,7000.0,北京字节跳动科技有限公司,北京,3,本科,
网络安全工程师,信息安全,15000.0,北京金堤科技有限公司,北京,1,本科,
数据安全专家,信息安全,30000.0,腾讯科技（深圳）有限公司,深圳,5,本科,
物联网安全产品经理,信息安全,25000.0,北京中科物安科技有限公司,北京,5,本科,
安全合规工程师,信息安全,12500.0,深圳市迅雷网络技术有限公司,深圳,1,不限,
信息安全审计专家,信息安全,25000.0,同程网络科技股份有限公司,北京,5,本科,
网络信息安全保密专员,信息安全,7500.0,北京中宏立达科技发展有限公司,武汉,0,本科,
基础架构安全架构师/工程师,信息安全,22500.0,爱笔（北京）智能科技有限公司,北京,3,本科,
工控安全工程师,信息安全,4500.0,河南三中电子科技有限公司,郑州,1,本科,
资深信息安全运维工程师,信息安全,37500.0,深圳帝华网络有限公司,深圳,5,本科,
技术工程部-高级安全开发工程师,信息安全,30000.0,北京搜狗科技发展有限公司,北京,5,本科,
安全合规工程师,信息安全,30000.0,人人行科技股份有限公司,北京,3,本科,
数据安全专家,信息安全,45000.0,北京字节跳动科技有限公司,北京,0,本科,
安全合规工程师,信息安全,24000.0,威富通科技有限公司,深圳,3,本科,
网络安全工程师,信息安全,20000.0,深圳市立创电子商务有限公司,深圳,3,大专,
网络信息安全工程师,信息安全,12500.0,北京纳通医疗技术有限公司,北京,1,本科,
物联网安全工程师,信息安全,20000.0,广东美的制冷设备有限公司,深圳,3,本科,
安全服务项目经理,信息安全,15000.0,深信服科技股份有限公司,深圳,1,不限,
网络安全岗,信息安全,22500.0,长城证券股份有限公司,深圳,3,本科,
网络安全工程师,信息安全,17500.0,广东盛迪嘉电子商务股份有限公司,深圳,3,本科,
安全研究员（规则方向）,信息安全,11500.0,北京微步在线科技有限公司,北京,0,不限,
网络信息安全工程师（实习）,信息安全,2500.0,武汉安问科技发展有限责任公司,武汉,0,本科,
1121NW-安全合规顾问,信息安全,20000.0,平安科技（深圳）有限公司,深圳,3,本科,
网络安全工程师,信息安全,7500.0,福建榕基软件股份有限公司,福州,0,大专,
网络安全工程师,信息安全,17500.0,武汉合众易宝科技有限公司,北京,3,本科,
网络安全工程师,信息安全,10000.0,中冶赛迪重庆信息技术有限公司,重庆,3,本科,
网络安全工程师,信息安全,14000.0,北京中科物安科技有限公司,东莞,3,本科,
信息安全运营实习岗,信息安全,2500.0,北京字节跳动科技有限公司,北京,1,本科,
安全咨询规划专家,信息安全,30000.0,深信服科技股份有限公司,深圳,5,本科,
高级网络安全工程师,信息安全,37500.0,深圳市云歌人工智能技术有限公司,深圳,5,本科,
网络安全工程师,信息安全,8000.0,大河网络传媒集团有限公司,郑州,3,本科,
安全服务工程师,信息安全,7500.0,郑州赛欧思科技有限公司,郑州,0,大专,
安全工程师,信息安全,22500.0,上海寻梦信息技术有限公司,上海,0,本科,
Web安全工程师,信息安全,22500.0,联想（北京）有限公司,北京,1,不限,
web安全工程师,信息安全,30000.0,广州虎牙信息科技有限公司,广州,3,本科,
数据安全专家(001046),信息安全,40000.0,北京奇安信科技有限公司,北京,5,本科,
网络安全工程师,信息安全,22500.0,人民网股份有限公司,北京,0,本科,
信息安全技术运营专员,信息安全,12500.0,腾讯科技（深圳）有限公司,深圳,1,本科,
高级网络安全工程师,信息安全,27500.0,高济（天津）投资有限公司,北京,5,本科,
高级安全工程师,信息安全,22500.0,上海安能聚创供应链管理有限公司,杭州,3,大专,
金融安全技术研究员（金融科技领域）,信息安全,24000.0,中移（上海）信息通信科技有限公司,上海,1,硕士,
网络信息安全工程师,信息安全,7500.0,重庆宏雅教育信息咨询服务有限公司,成都,0,不限,
内容安全产品经理,信息安全,30000.0,腾讯科技（深圳）有限公司,深圳,5,本科,
Web安全工程师 (MJ000105),信息安全,20000.0,北京健康之家科技有限公司,北京,1,本科,
网络信息安全工程师,信息安全,10000.0,江苏天创科技有限公司,苏州,1,本科,
工控安全工程师,信息安全,7000.0,中国科学院信息工程研究所,北京,0,本科,
网络安全工程师,信息安全,11500.0,河南信安世纪科技有限公司,郑州,1,大专,
信息安全销售总监,信息安全,12500.0,深圳前海泰泽齐牛科技有限公司,深圳,5,大专,
安全策略产品经理,信息安全,22500.0,小船出海教育科技（北京）有限公司,北京,3,本科,
网络信息安全工程师,信息安全,4500.0,大洋行联盟（大连）科技有限公司,大连,3,本科,
网络信息安全,信息安全,21000.0,北京天融信网络安全技术有限公司,北京,3,本科,
安全合规经理,信息安全,20000.0,北京陌陌科技有限公司,北京,1,不限,
网络安全解决方案工程师,信息安全,17500.0,哈尔滨安天科技集团股份有限公司,成都,3,本科,
计算机安全管理员,信息安全,8500.0,北京神州四达科技有限公司,北京,0,大专,
安全渗透工程师,信息安全,10500.0,沈阳海昊大数据科技有限公司,北京,1,大专,
安全分析工程师,信息安全,9000.0,重庆重报传媒有限公司,重庆,3,大专,
销售总监（信息安全行业）,信息安全,27500.0,北京网思科平科技有限公司,北京,5,大专,
网络安全开发工程师,信息安全,20000.0,中盈优创资讯科技有限公司,北京,3,本科,
渗透安全开发工程师-中台项目(J11823),信息安全,27500.0,上海二三四五网络科技有限公司,上海,3,不限,
数据安全管理研究员SAQ56,信息安全,11000.0,中国信息通信研究院,北京,1,硕士,
网络安全防护工程师(001002),信息安全,22500.0,北京奇安信科技有限公司,北京,3,大专,
安全合规专员,信息安全,20000.0,连尚（北京）网络科技有限公司,上海,3,本科,
网络安全管理员,信息安全,16000.0,华泰期货有限公司,深圳,0,本科,
信息安全售前,信息安全,15000.0,北京永信至诚科技股份有限公司,北京,1,大专,
安全管理专员(J10561),信息安全,20000.0,中移（苏州）软件技术有限公司,苏州,3,本科,
网络安全讲师,信息安全,20000.0,慧科教育科技集团有限公司,北京,3,本科,
渗透安全专家,信息安全,26500.0,税友软件集团股份有限公司,杭州,5,不限,
网络信息安全工程师,信息安全,10000.0,广州三零卫士信息安全有限公司,广州,0,大专,
安全产品经理,信息安全,15000.0,上海端御信息科技有限公司,上海,3,本科,
数据安全高级顾问-GZ/SZ,信息安全,17500.0,普华永道中天会计师事务所（特殊普通合伙）北京分所,广州,3,本科,
高级安全合规专家,信息安全,37500.0,北京字节跳动科技有限公司,北京,3,本科,
销售经理（信息安全）,信息安全,23000.0,深圳市慧择信息集团有限公司,重庆,3,本科,
安全数据分析工程师(ESM)(J11929),信息安全,14500.0,北京神州绿盟信息安全科技股份有限公司,西安,1,本科,
智能云计算部_高级安全工程师(安全管理及运营方向),信息安全,22500.0,百度在线网络技术（北京）有限公司,北京,3,本科,
运营安全工程师,信息安全,25000.0,广州鼎盛互动网络科技有限公司,广州,1,本科,
安全测试工程师,信息安全,22500.0,北京自如友家资产管理有限公司,北京,3,本科,
安全分析师,信息安全,22500.0,武汉永恒龙腾商务咨询有限公司,武汉,3,不限,
网络信息安全工程师,信息安全,8000.0,成都久信信息技术股份有限公司,成都,3,本科,
信息安全销售总监,信息安全,22500.0,北京金源动力信息化测评技术有限公司,北京,3,本科,
安全合规架构师/工程师,信息安全,30000.0,爱笔（北京）智能科技有限公司,北京,3,本科,
网络安全（市场调研分析岗）,信息安全,4000.0,广州小米国际信息科技有限公司,广州,1,大专,
前端开发工程师(信息安全),信息安全,10500.0,天津开发区先特网络系统有限公司,天津,3,大专,
数据安全开发工程师/高级开发,信息安全,40000.0,北京云杉世界信息技术有限公司,北京,5,本科,
网络与信息安全售前工程师,信息安全,4500.0,郑州金瀚信息技术有限公司,郑州,1,本科,
物联网安全实习生,信息安全,3000.0,北京安为科技有限公司,北京,0,本科,
网络安全工程师,信息安全,7000.0,北京华清信安科技有限公司,北京,0,本科,
安全运营,信息安全,22500.0,车好多旧机动车经纪（北京）有限公司,北京,0,本科,
安全运营工程师(J11634),信息安全,12500.0,北京神州绿盟信息安全科技股份有限公司,广州,1,本科,
高级安全运营工程师,信息安全,37500.0,东莞市腾盛软件科技有限公司,深圳,5,不限,
安全运营,信息安全,21500.0,上海赛可出行科技服务有限公司,南京,3,本科,
安全产品经理,信息安全,26000.0,珠海汉光投资合伙企业（有限合伙）,珠海,5,不限,
安全运营架构师,信息安全,30000.0,深圳市网心科技有限公司,深圳,3,不限,
安全产品经理,信息安全,20000.0,苏州融卡智能科技有限公司,深圳,3,本科,
销售经理（信息安全行业）,信息安全,9000.0,北京华清信安科技有限公司,北京,3,大专,
安全产品经理,信息安全,20000.0,奇虎360科技有限公司,北京,3,本科,
运维安全工程师,信息安全,9500.0,修正快运股份有限公司,杭州,1,大专,
安全测试工程师,信息安全,11500.0,成都科来软件有限公司,成都,3,本科,
00019-安全运维工程师,信息安全,20000.0,北京数字认证股份有限公司,北京,5,本科,
销售经理（信息安全 济南）,信息安全,40000.0,深圳市慧择信息集团有限公司,济南,3,本科,
安全测试工程师,信息安全,10500.0,沈阳海昊大数据科技有限公司,北京,3,大专,
数据安全工程师,信息安全,21500.0,招联消费金融有限公司,深圳,3,本科,
安全运维工程师,信息安全,20000.0,即科金融信息服务（上海）有限公司,上海,3,本科,
安全运营经理(J11633),信息安全,16500.0,北京神州绿盟信息安全科技股份有限公司,广州,3,本科,
销售经理（信息安全软件）,信息安全,30000.0,深圳市慧择信息集团有限公司,杭州,3,不限,
安全运维,信息安全,26000.0,广州宇泰行数据科技有限公司,广州,3,本科,
安全分析实习生,信息安全,7000.0,北京微步在线科技有限公司,北京,0,本科,
高级安全运营工程师,信息安全,60000.0,上海瑞阙文化发展有限公司,上海,5,大专,
信息安工程师,信息安全,15000.0,北汽蓝谷信息技术有限公司,北京,3,本科,
安全运维工程师,信息安全,22500.0,北京小米科技有限责任公司,北京,0,大专,
安全数据挖掘工程师,信息安全,40000.0,北京字节跳动科技有限公司,北京,3,本科,
安全运营工程师,信息安全,45000.0,OPPO广东移动通信有限公司,深圳,3,本科,
安全服务项目经理,信息安全,24000.0,广州竞远系统网络技术有限公司,广州,5,不限,
安全运维工程师,信息安全,19000.0,深圳市随手科技有限公司,深圳,3,本科,
安全部商品审核,信息安全,3500.0,杭州博彦信息技术有限公司,杭州,0,大专,
安全运维经理G00669,信息安全,17500.0,上海诺亚金融服务有限公司,上海,3,本科,
信息安全运营工程师,信息安全,9500.0,北京纳通医疗技术有限公司,北京,0,本科,
网络安全管理员,信息安全,7500.0,江苏慧世联网络科技有限公司,南京,1,大专,
资深安全运营工程师（ROS）(J11932),信息安全,13000.0,北京神州绿盟信息安全科技股份有限公司,广州,1,本科,
销售经理（信息安全软件）,信息安全,22500.0,深圳市慧择信息集团有限公司,广州,3,本科,
安全高级运维工程师,信息安全,37500.0,北京字节跳动科技有限公司,北京,0,本科,
安全运维工程师,信息安全,20000.0,国铁吉讯科技有限公司,杭州,3,本科,
安全运维工程师,信息安全,19000.0,广州宇泰行数据科技有限公司,广州,5,本科,
数据安全运营专家,信息安全,35000.0,大箴（杭州）科技有限公司,杭州,3,本科,
安全测试专家,信息安全,45000.0,建信金融科技有限责任公司,北京,5,本科,
网络安全专家(态势感知方向),信息安全,30000.0,长安通信科技有限责任公司,北京,5,本科,
安全运营工程师,信息安全,17000.0,招联消费金融有限公司,深圳,3,本科,
web安全工程师,信息安全,30000.0,好宣（上海）科技有限公司,深圳,3,本科,
北京-安全运营专家,信息安全,25000.0,北京三快在线科技有限公司,北京,3,本科,
智能系统安全研究,信息安全,2500.0,中国科学院软件研究所,北京,0,硕士,
安全测评师,信息安全,10500.0,北京安瑞科技有限公司,北京,1,大专,
安全运维资深工程师,信息安全,17500.0,亚信科技（中国）有限公司,北京,3,本科,
信息安全销售经理—政企方向,信息安全,15000.0,上海端御信息科技有限公司,上海,1,大专,
售前支持工程师（信息安全）,信息安全,20000.0,深圳市慧择信息集团有限公司,上海,0,本科,
安全运维工程师(J12004),信息安全,17500.0,北京神州绿盟信息安全科技股份有限公司,北京,3,本科,
安全数据挖掘负责人,信息安全,55000.0,北京字节跳动科技有限公司,北京,0,本科,
信息技术主管,信息安全,17500.0,中国电子进出口有限公司,北京,3,本科,
iOS移动安全开发工程师,信息安全,25000.0,乐糖光年(北京)科技有限公司,北京,1,本科,
安全策略运营,信息安全,13500.0,行吟信息科技（上海）有限公司,北京,1,本科,
高级云计算安全工程师,信息安全,30000.0,北京京东世纪贸易有限公司,北京,5,本科,
python安全开发工程师,信息安全,15000.0,北京中睿天下信息技术有限公司,北京,3,本科,
CC++Linux网络安全中级研发工程师,信息安全,10500.0,长沙市智为信息技术有限公司,长沙,1,本科,
信息安全销售经理—教育方向,信息安全,12500.0,上海端御信息科技有限公司,上海,1,大专,
互联网安全测试工程师/专家(003928),信息安全,45000.0,维沃移动通信有限公司,深圳,5,本科,
网络安全工程师,信息安全,11500.0,上海律尔信息科技有限公司,上海,1,大专,
信息技术主管,信息安全,15500.0,中教华影电影院线股份有限公司,北京,3,不限,
高级网络安全研究员,信息安全,26500.0,中国科学院电子学研究所苏州研究院,苏州,3,本科,
安全渗透测试工程师,信息安全,22500.0,云集共享科技有限公司,深圳,3,本科,
销售经理（信息安全 深圳）,信息安全,40000.0,深圳市慧择信息集团有限公司,深圳,3,本科,
资深安全数据挖掘工程师,信息安全,50000.0,北京字节跳动科技有限公司,北京,0,本科,
安全运维工程师-职能线(J11863),信息安全,9500.0,北京神州绿盟信息安全科技股份有限公司,北京,1,本科,
网络安全核心研发人员,信息安全,26500.0,长沙市智为信息技术有限公司,长沙,3,本科,
北安-安全事务平台Java开发,信息安全,37500.0,北京三快在线科技有限公司,北京,3,本科,
资深网络安全工程师,信息安全,11500.0,上海律尔信息科技有限公司,上海,3,大专,
网络安全工程师,信息安全,13500.0,北京名道恒通信息技术有限公司,北京,3,大专,
高级信息技术专员,信息安全,20000.0,爱财科技有限公司,杭州,3,本科,
运维工程师（信息安全方向）,信息安全,7500.0,安徽航天信息科技有限公司,合肥,0,大专,
05219U-信息技术合规岗,信息安全,17500.0,平安证券股份有限公司,深圳,3,本科,
网络安全技术工程师,信息安全,12000.0,北京睿助环创科技有限公司,北京,0,不限,
网络安全技术工程师,信息安全,6000.0,成都岷扬信息技术有限公司,成都,1,大专,
政府行业安全集成项目经理,信息安全,20000.0,上海和利信息科技有限公司,上海,3,本科,
网络安全管理员实习生,信息安全,2500.0,清博津商（天津）教育科技有限公司,天津,0,本科,
售前支持工程师（信息安全软件）,信息安全,20000.0,深圳市慧择信息集团有限公司,杭州,0,本科,
0521AJ-信息技术风险管理岗,信息安全,25000.0,平安证券股份有限公司,深圳,5,硕士,
网络安全讲师,信息安全,30000.0,北京中启创优企业管理咨询有限公司,北京,3,大专,
安全运维工程师,信息安全,9500.0,北京鑫瑞天翔科技发展有限公司,上海,1,本科,
安全测试,信息安全,9000.0,河北百汇广联科技服务有限公司,石家庄,3,大专,
信息安全渗透测试工程师,信息安全,15000.0,阳光保险集团股份有限公司,北京,0,本科,
信息总监,信息安全,20000.0,斯沃德教育科技股份有限公司,南昌,3,本科,
信息技术副总监,信息安全,41500.0,海口诚之恳实业有限公司,海口,5,本科,
信息科技风险管理专员,信息安全,18000.0,上海浦东发展银行股份有限公司信用卡中心,上海,3,本科,
安全运营工程师,信息安全,26500.0,中信银行股份有限公司信用卡中心,深圳,1,本科,
信息部经理,信息安全,20000.0,桂林市啄木鸟医疗器械有限公司,桂林,5,本科,
信息安全渗透测试工程师,信息安全,16000.0,阳光信用保证保险股份有限公司,北京,3,本科,
产品经理助理（信息安全方向）,信息安全,8500.0,广州市昊恒信息科技有限公司,广州,1,大专,
网络安全售前项目跟进人员,信息安全,7500.0,上海闪耀信息科技有限公司,上海,1,大专,
安全运维工程师,信息安全,4500.0,安百科技（北京）有限公司,北京,1,大专,
安全渗透测试经理,信息安全,30000.0,深圳市慧择信息集团有限公司,深圳,5,本科,
安全运维,信息安全,12000.0,深圳前海泰泽齐牛科技有限公司,深圳,1,大专,
安全运维工程师,信息安全,9000.0,广州青莲网络科技有限公司,广州,0,大专,
信息技术部-网络与应用管理岗（上海职场IT主管）,信息安全,35000.0,财通证券资产管理有限公司,上海,3,本科,
工控网络安全C开发人员,信息安全,7500.0,中国科学院信息工程研究所,北京,0,本科,
信息系统支持工程师,信息安全,12500.0,上海申通德高地铁广告有限公司,上海,3,本科,
云安全架构师,信息安全,35000.0,维沃移动通信有限公司,深圳,3,硕士,
信息系统总监理工程师,信息安全,12500.0,广州清宇信息科技有限公司,广州,3,本科,
网络安全运维工程师,信息安全,8500.0,北京信源思科技有限公司,北京,1,大专,
逆向工程师（移动安全）,信息安全,15000.0,上海弘连网络科技有限公司,上海,1,本科,
基础架构工程师（安全方向）,信息安全,23000.0,网易（杭州）有限公司,广州,0,本科,
安全行业大客户销售经理,信息安全,18000.0,北京国舜科技股份有限公司,北京,1,大专,
高级DevSecOps（安全运维）工程师,信息安全,35000.0,彪洋科技（北京）有限公司,北京,5,本科,
云计算工程师（云计算安全方向）,信息安全,10500.0,成都安舟信息技术有限公司,成都,1,不限,
云架构师（安全方向）,信息安全,32500.0,联想（北京）有限公司,北京,1,本科,
内容审核专员,信息安全,4500.0,广州坚和网络科技有限公司,广州,0,大专,
项目经理（安全服务）,信息安全,15000.0,北京长亭科技有限公司,北京,1,本科,
2521CK-风控算法工程师(业务安全),信息安全,19500.0,上海陆家嘴国际金融资产交易市场股份有限公司,上海,1,本科,
社区运营专员,信息安全,6500.0,上海海万信息科技股份有限公司,深圳,1,本科,
运维工程师,信息安全,6000.0,中通服创立信息科技有限责任公司,成都,1,大专,
资深运维工程师,信息安全,20000.0,广州银行股份有限公司信用卡中心,广州,5,本科,
产品经理（信息/网络安全）,信息安全,17500.0,深圳市慧择信息集团有限公司,深圳,3,本科,
Java爬虫架构师,信息安全,40000.0,北京闪银奇异科技有限公司,北京,3,本科,
区块链移动端开发经理,信息安全,25000.0,上海吾式信息科技有限公司,上海,5,本科,
总经办助理,信息安全,10000.0,上海黑桃互动网络科技有限公司,上海,1,本科,
测试工程师（安全）,信息安全,26500.0,北京自如友家资产管理有限公司,北京,3,本科,
python开发工程师,信息安全,12500.0,北京安信天行科技有限公司,北京,3,本科,
渗透测试工程师,信息安全,21500.0,上海泛微网络科技股份有限公司,上海,3,本科,
数据开发工程师,信息安全,16000.0,杭州大乘智能科技有限公司,杭州,3,本科,
产品经理（推荐系统）,信息安全,18000.0,北京大圣互动科技有限公司,北京,1,本科,
IT流程管理岗,信息安全,18500.0,广州银行股份有限公司信用卡中心,广州,5,本科,
JAVA爬虫架构师,信息安全,40000.0,北京闪银奇异科技有限公司,北京,3,本科,
卫生医疗行业高级销售代表,信息安全,9000.0,北京安信天行科技有限公司,北京,0,本科,
平台运维总监/运维经理,信息安全,37500.0,北京捷通华声科技股份有限公司,北京,5,本科,
系统运维工程师,信息安全,15000.0,上海招赢电子商务有限责任公司,上海,3,本科,
桌面运维工程师,信息安全,11500.0,神策网络科技（北京）有限公司,北京,1,本科,
项目运维主管,信息安全,35000.0,上海纵游网络技术有限公司,上海,5,本科,
高级Java工程师,信息安全,22500.0,新华书店总店,北京,5,本科,
内容监控专员,信息安全,5500.0,上海微创软件股份有限公司,北京,0,本科,
售前工程师,信息安全,9500.0,广州高谱技术有限公司,广州,3,大专,
IT经理,信息安全,12500.0,北京细刻网络科技有限公司,广州,3,本科,
业务经理,信息安全,20500.0,深圳泛员网网络科技有限公司,北京,3,本科,
运维工程师,信息安全,16000.0,深圳卓正医疗投资咨询有限公司,深圳,1,本科,
IT支持&amp;系统工程师,信息安全,12500.0,冰洲石生物科技（上海）有限公司,上海,1,本科,
审核主管,信息安全,17500.0,上海任意门科技有限公司,上海,3,本科,
