,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Python,Matlab,Opencv,Tensorflow,Java,Linux,Caffe,Spark,Pytorch
101,FPGA逻辑算法工程师,算法,22500.0,深圳捷誊技术有限公司,深圳,3.0,本科,"Responsibilities * Work with project leader closely to finish device architecture design* Work with System Engineer closely and provide input to the writing of System Functional Specifications of the products, i.e. be an active part in the early design phase of a product* Write both module level and device level specifications in English* Develop synthesizable RTL using System Verilog per module/device specification* Documentation for related tasks, also be responsible for document review, code inspection and other tasks required by quality process* Work with hardware and software engineers in the integration of FPGARequirements* Bachelor Degree in Electrical or Compuer Engineering* Minimum 3 years working experiences on FPGA or ASIC design* Familiar with FPGA design tools: Mentor Questa, Xilinx ISE/Vivado, etc.* Ability to produce consistent quality under pressure* E",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,算法工程师,算法,20000.0,广州康睿智能科技有限公司,广州,1.0,硕士,"职责描述：1、负责医疗相关数据的数据挖掘，模型建立工作；2、AI系统开发与集成；3、与工程团队合作，负责相关技术的产品化落地；4、根据客户场景，完成算法设计，实现和调优，推进算法落地；5、负责计算机视觉、自然语言理解、深度学习算法等领域的研发工作，保持算法在工业界和学术界的领先；6、追踪技术前沿，及时判断研发过程对产品的影响。任职要求：1、硕士或以上学历；（计算机、电子等相关专业毕业，或非相关专业但已有多年计算机互联网行业从业经验）2、有良好编程基础，熟悉python／lua等至少一门脚本语言，熟悉c／c++编程；3、熟悉机器学习基本理论，熟悉分类、回归、降维、ensemble等；4、熟悉深度学习基本理论，熟悉利用DNN／CNN／RNN进行特征学习；5、熟悉caffe，CNTK,tensorflow，mxnet等至少一个深度学习框架；6、熟悉scikit-learn等机器学习库。",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
103,算法工程师,算法,15416.67,哈工大机器人（中山）无人装备与人工智能研究院,中山,3.0,本科,研究所 ： 人工智能研究所研究课题：1.机器视觉的工业应用2.人工智能的服务应用3.智能医疗及设备4.智慧城市岗位要求：有3-5年以上大型软件设计开发经验；专业要求：计算机、软件工程、模式识别、图像处理、应用数学等相关专业学历需求：本科工作经验5年以上；硕士工作经验3年以上；博士工作经验不作要求；待遇情况：  成长空间：提供带薪创业平台、股权激励；晋升岗位多、职称晋升较快、高端培训、多岗培养等。 福利待遇：六险一金；带薪年假；免费班车；午餐补贴；年度体检；健身房、咖啡厅、食堂等。工资构成：基本工资+岗位工资+绩效奖金+项目奖金+年终奖津   贴：引博工程、住房补贴、车补等工资情况：硕士：12W-25W/年+各类津贴博士：25W-50W/年+各类津贴 有经验本科：面议联系人：王先生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,机器视觉算法工程师,算法,18500.0,苏州埃克锐特光电有限公司,苏州,1.0,硕士,工作职责：1、负责线结构光、光栅结构光产品上的图像处理、点云生成等算法设计与实现；2、负责焊缝识别、跟踪产品的图像识别与检测算法等设计与实现；3、负责3D测量、3D应用（点胶、抓取）等点云应用（根据岗位不同，负责算法方向不同）。学历要求：本科（2年以上工作经验）或研究生（1年以上工作经验）招聘人数：2人薪资：15~25K职位要求：1、计算机、信号处理、图像处理及信息类专业，本科学历工作3年以上，研究生学历工作1年以上；2、有较好数学基础，较强的图像处理算法设计能力，熟练使用matlab；3、掌握c语言，有在实现图像处理或图像识别类算法经验；4、在ISP、计算成像、图像处理等领域具有相关研究成果或开发经验；5、较强的论文检索，英文专业文献阅读能力；6、较强的沟通与协作能力；7、有结构光测量、图像识别经验的优先。,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,导航算法工程师,算法,30000.0,广州高新兴机器人有限公司,广州,0.0,无,工作职责:1、机器人在室外环境中的地图构建和SLAM算法；2、使用的传感器包括单目、双目、RGBD摄像头、IMU等多传感器融合算法研发；3、机器人的定位、路径规划、地图重建算法；4、负责视觉导航算法的优化，移植和产品化；5、机器人在室外环境中行走时的运动控制算法和动态避障算法；6、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。任职资格:1.具有多传感器融合的机器人导航相关经验者优先；2.能够独立完成基于ROS的机器人控制软件设计者优先；3.具有视觉算法硬件优化，并行计算（CUDA）相关经验者优先；4.在视觉导航及机器人相关领域发表优秀论文者优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,九轴传感器算法工程师,算法,17500.0,佛山市龙道体育服务有限公司,佛山,0.0,无,岗位职责：1、熟悉九轴惯性传感器，包括加速度计、陀螺仪、磁场计的外围电路搭建，数据采集和处理，动力学算法优化；2、快速姿态解算和姿态融合，熟悉常用的滤波算法用于降噪；3、熟悉捷联惯导相关算法及软硬件实现方法；4、熟悉利用惯性传感器进行快速响应自动控制。岗位描述：1、有过无人机、飞控研发经验者优先；2、有过独轮车、两轮车相关研发经验者优先；3、有过空中鼠标、飞鼠、体感遥控器研发经验者优先；4、熟悉USB驱动、HID协议，做过鼠标、游戏手柄者优先；5、有气体、薄膜传感器应用开发经验者优先；6、本科以上学历。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,图像后处理算法工程师,算法,17500.0,南京安科医疗科技有限公司,南京,3.0,硕士,参与公司CT产品影像后处理工作站相关功能模块的开发，主要工作方向为：图像分割、图像配准、血管提取、图像分析等； 2.   跟踪目前最新的CT算法研究状态；   技能要求： 1.   图像处理相关专业硕士学历，3年以上工作经验，精通C++编程语言； 2.   具有医学图像处理算法的，做过如下相关工作优先； a)   血管分割和血管提取 b)   心脏冠脉提取 c)   颈动脉分割 d)   去骨算法研究； e)   图像配准； f)   肺部及肺结节提取； 3.   熟悉当前流行的深度学习框架，了解一些常用的神经网络架构； 4.   能够熟练阅读相关英文文献并编码验证（c++或matlab）； 5.   熟悉ITK等其他医学图像处理平台优先； 6.   具有团队合作、沟通能力和创新、学习能力；,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,图像算法工程师,算法,14000.0,苏州英士派克光电科技有限公司,昆山,2.0,硕士,、图形图像处理，计算机视觉相关算法的研发；2、优化现有算法。任职要求：1、本科及以上学历，计算机、数学、信号与处理或相关类专业；2、相关行业3年及以上工作经验；3、熟悉opencv或其它开源视觉库4、熟悉常见的模式识别算法；5、熟练使用C/C++语言；6、熟练掌握模板匹配算法；7、数学功底扎实；8、有电子或半导体行业经验者优先。,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,调度算法工程师,算法,11500.0,福建（泉州）哈工大工程技术研究院,泉州,1.0,本科,、针对工厂环境进行路径和调度系统设计；2、按需求提出调度系统设计方案，参与评审等；3、物流调度系统项目开发。岗位任职：1、熟悉现代物流工程，并掌握现代物流工程基础理论知识，对现代物流仓储具备一定的了解；2、熟悉一种或多种物流仿真软件应用程序；3、熟悉SQL语言，熟悉至少一款数据库（Oracle、MySQL、SQLServer等）；4、熟悉掌握至少一门编程语言，java优先；5、熟悉AGV小车工作原理和操作；6、有自动化仓储设计经验优先；7、能独立完成软件的设计与实现，有调度相关界面开发经验优先8、熟悉OpenTCS开源设计模式和车辆调度算法优先。,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,图像算法工程师,算法,15000.0,深圳力和行智能科技有限公司,东莞,3.0,无,"岗位职责：1.参与公司视觉系统研发工作；2.基于OpenCV、halcon平台，负责参与开发视觉系统的各功能模块，如模板匹配、blob分析、边缘检测、特征提取、瑕疵检测等；3.负责机器视觉系统图像处理、分析及识别算法设计、实现及现场调试。职位要求：1.三年以上以C++开发经验，一年以上以OpenCV、halcon开发经验，熟悉VS2008以上开发平台；2.有较好的数学基础，动手能力强，能够根据视觉论文编写出针对具体问题的视觉算法。3.有一定的视觉开发经验和项目经历，熟悉window操作系统，Socket及串口通信、多线程编程、SqlSever2008等操作；4.对机器视觉有浓厚的兴趣,有良好的抽象思维和逻辑思维能力，独立分析问题和解决问题的能力；5.具备现场独立调试视觉的能力",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,高级算法工程师,算法,21500.0,瑞卡租车,广州,2.0,本科,"岗位职责：1、负责公司业务相关模型的架构设计与开发工作，包括用户画像建模、用户行为分析、推荐系统、风控；2、负责机器学习尤其是深度学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案；3、搭建公司机器学习、深度学习算法平台。?任职要求：1、计算机、数学、统计学或相关专业，全日制本科以上学历，英语4级以上，2年以上算法开发经验；2、精通机器学习常用算法：如决策树、随机森林、协同过滤、SVM、回归算法、AdaBoost等等；3、熟悉Python语言，精通深度学***流算法和框架，包括但不限于Tensorflow，Deeplearning4j,Torch，Caffe等其中一种；4、高度的责任心，工作细致耐心，积极主动，抗压性强，有团队合作精神，具有良好的沟通能力；5、熟悉高性能分布式计算平台（hadoop、spark等），有海量数据处理的经验的优先考虑。",0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
112,AI算法工程师,算法,18500.0,深圳市能信安科技股份有限公司,深圳,0.0,本科,负责相应计算机视觉项目的算法研究，算法优化，以及代码实现和性能改进。任职要求：1、全日制本科以上学历，计算机相关专业，1年以上相关工作经验。2、了解数据挖掘的标准流程，对传统机器学习算法，比如：SVM，KNN，Adaboost，随机森林等算法能够深入理解，并且有实际开发经验者优先。3、对人工智能算法，包括：深度学习，迁移学习，强化学习等算法有深入研究，并且有计算机视觉人工智能相关项目开发经验者优先。4、熟悉深度学习框架，如Tensorflow/Caffe/Keras/Torch/Mxnet/DeepLearning4j者优先。5、至少掌握Python/C/C++/Matlab中至少2种编程语言。6、有使用MFC，JQuery，PyQt框架等进行界面开发经验者优先。7、能够独立部署人工智能开发环境，包括分布式GPU环境搭建和使用者优先。,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
113,算法工程师,算法,15000.0,北京中科飞鸿科技有限公司,北京,0.0,本科,岗位职责：1、根据部门和激光抗干扰、侦察反制、光电侦察项目需求，参与项目核心算法设计，并按照项目分工开展工作。。2、负责产品核心算法设计方案制定，按设计和开发计划按时、保量、保质完成。3、进行具体的产品算法模型设计、仿真和调试。4、遵照相关标准和制度，实施算法开发工作。5、依据算法设计，指导工程师进行算法工程实现。6、负责技术文档输出，执行设计更改的验证实施。7、人员培养。8、完成上级交办的其它工作任职要求：1、计算机、软件工程、电子信息工程、通信、光学等相关专业硕士以上学历，三年以上电子通信企业相关工作经验。2、熟悉产品技术原理、算法开发规范、科研项目实施流程和规则。3、熟练使用软件设计和办公软件。4、拥有一定的目标分解和管控能力，文字和语言沟通能力，问题协调、分析和处理能力。注：本岗位招聘2019年硕士毕业生及在校硕士实习生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,算法工程师,算法,15000.0,北京亚鸿世纪科技发展有限公司,武汉,3.0,本科,职位描述：1、利用相关技术和算法，为公司各业务线产品提供解决方案与服务； 2、主要负责公司知识图谱、自然语言处理和网络安全等任意一个方向的算法研发工作； 3、负责搭建相关的机器学习和大数据分析平台。岗位要求：1、熟悉基本的机器学习相关知识，掌握自然语言处理相关理论与技术方法，或熟悉网络安全相关知识；2、熟练掌握使用java，至少掌握一种脚本语言；3、掌握基本的算法分析所需要的数学知识；4、熟练掌握英文，能无障碍读懂相关文献；,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,电机驱动算法高级工程师,算法,20000.0,嘉控智能科技（上海）有限公司,上海,3.0,本科,负责车用永磁电机/异步电机控制策略及程序算法的设计与开发；2.负责独立完成在MATLAB/SIMULINK环境中进行电机控制软件的仿真和分析；3.负责独立完成电机控制软件的开发及相应的调试工作；4.负责电机控制器软件优化升级工作。任职要求：1.电力电子，自动控制或电机相关专业，本科三年以上，硕士一年以上电机控制器开发经验；2.熟悉FOC电机控制理论基础及开发；3.精通永磁电机、异步电机在车辆上的控制器程序应用和调试；4.责任心强，富有激情和创新意识，专业细致，认同匠心精神。公司福利：1.双休工作制、法定节假日均休、额外补偿年休假；2.足额缴纳五险一金；3.年终奖、年底多薪、优秀职员奖励、丰富的团建活动；4.生日福利、职员年度体检、住房补贴；5.免费健身设施、酒吧、茶吧、职员休闲活动区；6.职业技术培训、完善的职业生涯发展规划。,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,大数据算法工程师,算法,9000.0,武汉博晟信息科技有限公司,武汉,1.0,无,岗位职责：1.负责Hadoop集群以及Hive、HBase、Pig等相关软件配置、优化、维护、管理。2.负责Hadoop数据分析模块与其它系统/模块之间的衔接，为BI提供基础数据分析。3.运用数据挖掘算法，解决海量数据分析、挖掘方面的业务需求。任职要求：1.本科及以上学历，计算机或数学相关专业，1年以上软件开发经验。2.熟悉Hadoop、Hive、Pig等非实时分析工具的一种或者多种。3.熟悉Redis、Hbase、MongoDB等NoSql产品中的一种或者多种。4.有Spark、Storm、Pig等开源组件的使用经验者优先。5.有“工业大数据”相关数据挖掘经验者优先；福利待遇：1.公司为员工缴纳五险一金，另为每位员工缴纳商业保险；2.周一至周五，每天8小时工作制，法定节假日按照劳动法规定；3.享受餐补、每个季度举行丰富员工活动并享受各节假日福利；4.特定节假日（如：十一、中秋、圣诞节）前一天避免高峰期提前下班；5.按照劳动法规定享受年假/婚假/产假/陪产假/丧假等假期，另额外享受婚丧嫁娶等慰问金；6.薪资组成=基本工资+岗位工资+绩效工资+工龄工资+其它相关补贴+年终奖金。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,激光雷达应用算法工程师,算法,10416.67,广州市杜格科技有限公司,广州,0.0,本科,"工作内容：1.能独立承担激光雷达方面的应用开发2.完成上级安排的其他日常工作。任职要求：1.计算机、图像处理、通信工程，自动化等相关专业本科以上学历；2.精通图像处理及计算机视觉的基础理论和算法知识3.懂JAVA,能基于JAVA做算法及应用4.较好的沟通能力、责任意识及上进心，具备良好的学习能力，能够承受一定压力,能适应出差。5.有视觉方面经验犹佳",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,算法工程师,算法,9000.0,南京导纳能科技有限公司,南京,0.0,本科,						岗位职责1、参与故障诊断或数据分析项目的可行性分析、技术可行性分析和需求分析；2、负责核心算法的研究、设计、优化、改进及代码实现；3、负责系统的详细设计工作（按项目具体要求，承担软件的设计与开发）；4、负责系统的编码实现（按系统设计完成功能模块编写）；5、制定及维护所负责研发项目的详细技术文档。任职资格1、本科及以上学历，数学、计算机、电子相关专业，高学历优先；2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通C++、Matlab等编程工具；4、按照详细设计说明书，独立完成程序单元的编码和调试任务，能定位程序问题、分析和解决问题；5、具有数字信号处理、图像处理算法研究或开发经验。																		,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,无线通信算法工程师,算法,11500.0,西安征途网络科技有限公司,西安,3.0,硕士,岗位职责：1、负责无线数字通信算法设计、仿真与FPGA实现和验证 ；2、指导协助FPGA工程师完成相关FPGA算法实现；3、与其他部门共同合作完成项目开发，并独立撰写技术文档；4、 参与公司产品项目的分析论证，提出系统性能提升的可行性方案，并实现由算法仿真到FPGA实现的定点化过程；5、依据项目需求负责执行公司产品相关的通信系统与算法的预研工作，搭建通信系统与仿真，设计系统通信实现方案。任职要求：1、硕士以上学历，3-5年相关工作经验；2、具备扎实的通信原理、通信信号处理和移动通信理论知识，具有较强的软件无线电系统设计与分析判断能力；3、 熟悉软件无线电技术体系架构和软硬件设计流程，具备丰富的产品或项目实际开发经验；4、熟练使用MATLAB/SIMULINK等仿真工具软件进行通信信号处理算法设计与仿真，搭建无线通信仿真系统；5、熟悉基于FPGA的通信物理层算法开发实现流程，可以独立完成FPGA算法、接口、状态机等开发调试；6、熟悉软件无线电平台常用芯片及软硬件调试方法；7、良好的技术文件撰写能力和解决问题的突击能力；8、良好的沟通能力与组织能力、敬业精神和团队合作精神。公司办公注重沟通，工作高效；团队积极向上；重视人才；个人发展空间极大；航天大厦办公环境优越；为伙伴们准备果汁茶叶等员工福利；团建活动让我们认识生活中不一样的可爱同事们...... 欢迎加入征途科技，可将简历发送至邮箱或电话联系我们！,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,算法工程师,算法,10416.67,上海齐家网信息科技股份有限公司,上海,0.0,无,"工作职责1、用机器学习和数据挖掘的方法从海量互联网数据和日志数据中挖掘特征，用于推荐引擎中。2、对推荐引擎进行开发和优化，支持大数据量、高并发和高性能岗位要求1.计算机或相关专业z专科及其以上学历，在读期间研究机器学习、数据挖掘者优先考虑;2.一年以上互联网公司中从事大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验;3.有扎实的数据结构和算法功底，熟悉常用的机器学习模型与数据挖掘/推荐算法;4.至少熟悉一门编程语言（java,python,",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,售前销售经理全屋智能芯片算法工程师,算法,17500.0,上海芮铂阅容商贸有限公司,上海,0.0,无,售前销售经理公司有一个全屋智能设备的项目，需要一个精通全屋智能芯片算法工程师经历背景的售前销售经理配合项目经理工作有活力，有相当的技术背景经验,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Camera算法研发高级工程师 - 抖音,算法,37500.0,字节跳动,深圳,3.0,本科,						职位描述:1、负责手机前后置Camera相关增强算法的开发与应用；2、负责手机前后置多摄相关算法的开发与应用；3、负责算法调试和工程优化，对算法落地负责；4、参与制定Camera算法质量测试规范和标准。职位要求:1、硕士及以上学历；2、工作年限：三年及以上；3、具备相关基础画质算法的移动端落地经验，包括且不限于：HDR、多帧降噪、多帧超分、颜色校正、畸变校正、测光算法等4、熟悉图像处理、计算机视觉基础理论，特别是立体视觉等相关知识，并具有相关算法在移动端落地的经验，包括且不限于下面几项：a) 双摄深度图生成b) 立体标定和矫正相关算法c) 左右图像高质量融合d) 3D重建算法e) 深度摄像头（ToF、Structure light）相关算法5、了解camera AE、AWB、pdaf等3A算法原理优先；6、发表过高水平的图像、视觉、机器学习相关学术论文/专利者优先；7、熟练的英文文献阅读能力，具有较强的论文复现能力。																		,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Campus recruitment:Junior Algorithm Engineer/初级算法工程师,算法,,大陆汽车电子（长春）有限公司,长春,,无,						职位描述:1、负责手机前后置Camera相关增强算法的开发与应用；2、负责手机前后置多摄相关算法的开发与应用；3、负责算法调试和工程优化，对算法落地负责；4、参与制定Camera算法质量测试规范和标准。职位要求:1、硕士及以上学历；2、工作年限：三年及以上；3、具备相关基础画质算法的移动端落地经验，包括且不限于：HDR、多帧降噪、多帧超分、颜色校正、畸变校正、测光算法等4、熟悉图像处理、计算机视觉基础理论，特别是立体视觉等相关知识，并具有相关算法在移动端落地的经验，包括且不限于下面几项：a) 双摄深度图生成b) 立体标定和矫正相关算法c) 左右图像高质量融合d) 3D重建算法e) 深度摄像头（ToF、Structure light）相关算法5、了解camera AE、AWB、pdaf等3A算法原理优先；6、发表过高水平的图像、视觉、机器学习相关学术论文/专利者优先；7、熟练的英文文献阅读能力，具有较强的论文复现能力。																		,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,[2020校招]深度学习算法工程师,算法,20000.0,北京陌陌科技有限公司,北京,0.0,本科,、跟进cv领域的最新成果，并负责把最新算法落地到实际产品中；2、根据需求改进现有产品中相关的算法问题，提升产品的算法效果。工作领域不限于以下方向：1、负责图像检测/ 图像识别/图像分类/图像生成相关算法的研发和优化；2、负责深度学习框架的优化和量化算法的实现和优化；3、负责3D人脸/人体/声音等虚拟形象驱动算法研究和产品落地；4、负责语音增强、语音合成、语音识别方面的算法研究和产品落地。岗位要求：1、计算机/数学/电子信息/自动化相关专业；2、熟练掌握 C++ 或 Python，具有较强的算法实现能力者优先；3、能熟练运用 Tensorflow.PyTorch.Keras 其中一种框架进行深度学习模型训练和开发；4、有较强的独立解决问题能力，学习能力及沟通能力；5、了解基于CNN的图像检测、跟踪、识别等算法流程；6、具备优秀的逻辑思维能力，善于解决问题和分析问题，有强烈的上进心和求知欲，较强的沟通能力和学习能力。职能类别：										算法工程师									,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
125,图像算法工程师,算法,35000.0,爱回收,上海,5.0,本科,岗位职责：1，负责图像识别，物体检测算法，并根据具体场景优化2，负责自然场景文字识别算法3，负责行人检测、人脸检测等算法任职要求：1.掌握TensorFlow/Caffe/PyTorch/Keras等框架，能熟练掌握但不限一种；2.熟练掌握OpenCV常用算法；掌握OpenGL、OpenCL等优先；2.熟悉目标检测、图像分割、图像识别、图像分类、OCR等研究课题，有相关项目经验或者研究成果3.具备良好的编程能力，熟练掌握C/C++/Python编程语言，有Linux开发经验为佳;具有良好代码风格和质量意识，能独立完成算法模块设计、开发和测试；4.本科或以上学历，计算机、电子信息、软件、数学等相关专业5.计算机视觉、深度学习、计算机图形学等相关经验者优先，掌握图像处理算法，图像渲染等基础知识6.具备良好的沟通表达能力和团队合作意识,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
126,指纹算法工程师,算法,12500.0,杭州拓格人力资源管理咨询有限公司,杭州,2.0,本科,岗位职责： 1、负责指纹识别算法的理论研究、算法设计和代码实现；2、负责把算法移植到各类服务器和嵌入式平台。任职要求：1、熟练使用C/C++及其开发工具实现算法；2、有优秀的研究成果（人脸识别相关学术论文、专利、竞赛）；3、有较强的英文阅读能力，能够阅读英文论文和专利；4、2年以上算法研究基础或工作经验，硕士及以上学历，图像处理、模式识别、机器学习等相关专业。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,slam算法培养生,算法,7500.0,深圳市女娲机器人科技有限公司,深圳,0.0,硕士,职位信息：1.协助完成基于多传感器融合的SLAM算法开发2.协助完成机器人的调试工作岗位要求：1.硕士以上学历，计算机、电子等相关专业2.熟悉C/C++，python，熟悉移动机器人相关算法，掌握SLAM相关理论与基础3.SLAM领域发表过论文优先4.具备良好的学习能力和沟通能力,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,C++视觉算法工程师,算法,11500.0,北京好运达智创科技有限公司,北京,3.0,本科,"参与工业视觉算法项目的开发、部署和维护（C++），进行方案的分析、设计等工作。2.负责图像处理算法的研究和验证,从事图像处理与模式识别算法研发工作。3.按照标准规范撰写技术分析、设计文档。4.根据前沿论文实现项目或方法的落地。基本要求：1)计算机科学、信息科学、通信电子、数学或相关专业，硕士研究生以上学历；2)具有1-3年C/C++项目开发和部署经验；3)具有良好的编程习惯和算法基础，熟悉Linux平台和python编程。4)在工业视觉检测行业有成熟开发项目经验者，并能够承担独立开发任务。5)掌握机器视觉基本算法，熟悉至少一种开源框架，如Tensorflow、Caffe、Theano等；6)扎实的数字图像处理专业知识，熟悉图像识别、目标检测、目标跟踪等算法；7)有开源实践经验或成果演示者优先；有参与大型项目经验者优先；8)良好的英文文献阅读能力、较强的独立解决问题的能力，学习能力及沟通能力。",1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
129,AI算法测试技术员（东莞）,算法,6500.0,vivo智能手机（维沃移动通信有限公司）,东莞,0.0,本科,岗位职责：1、对接素材标定任务和收集任务，并对标定质量和收集质量负责；2、接入对应项目（图像、语音、语义、识图等等），配合工程师进行测试素材收集、整理及标定工作；3、负责算法项目的测试准备、用例编写及算法测试执行工作；4、负责对算法测试执行结果进行数据分析，输出测试质量报告；5、辅助算法测试工具的脚本编写；6、辅助完成相应算法竞品评测工作。任职要求：1、本科及以上学历，计算机及软件工程相关专业；2、对AI方向的测试工作有经验或有浓厚兴趣；3、在语音质量测试、Python脚本编写方面有经验者优先（非硬性）；4、良好的工作沟通交流能力和灵活解决问题能力；。工作地：vivo总部，东莞长安镇。,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,视觉算法工程师,算法,9000.0,无锡创驰电气有限公司,无锡,1.0,本科,岗位职责：1负责视觉算法的验证和开发，包括摄像机标定、3D测量等；2 负责完成部分研发项目的可行性分析工作；3相关研发资料的整理；4 探索部分前沿性的技术点岗位要求：1 本科/硕士学历，数学、应用物理以及模式识别等相关专业；2具有较强的数学基础以及英文阅读能力，熟练掌握matlab、opencv或halcon等软件平台；3 具有一定的图像处理算法经验，参加过数学建模竞赛者优先；4具有摄像机标定、结构光、立体视觉、三维重建、3D点云等经验者优先；5 具有良好的团队合作意识，较强的学习能力。,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,图像处理算法开发工程师,算法,17500.0,中兴新通讯有限公司,深圳,1.0,硕士,"、面向视觉检测装备的研制，负责图像特征提取、分类识别、深度学习等机器视觉算法的开发及实现。任职要求1、计算机，数学，模式识别或自动化等专业，硕士及以上学历。2、熟悉图像处理各种算法的基本原理，并能够灵活开发/运用算子进行图像匹配、定位、分割、边缘提取3、熟悉机器视觉各种相机，摄像头的特点，有一定的机器视觉自动化工业检测项目经验4、熟练使用Halcon、VisionPro、OpenCV等任一种视觉软件库进行视觉系统开发5、编程能力强，精通C,C++等任一编程语言或工具，熟练算法编程6、英语能力好，能高效阅读英文文献7、善于与同事沟通，勤奋踏实，富有团队合作精神和良好的自学能力",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,BMS软件工程师---算法开发,算法,17500.0,深圳天邦达科技有限公司,深圳,2.0,本科,职位描述：1、理解客户需求，与产品工程师对接，能够指导客户进行电池实验获取数据；2、做过SOC、SOH、SOE以及SOP算法研究并有成熟产品开发经验，熟悉卡尔曼滤波，熟悉MBD，MATLAB等工具使用；任职要求：1、35岁以下，理工科本科以上学历；2、知名企业从事过BMS软件开发经验优先；3、具有扎实的编程功底，熟悉C语言；,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,算法工程师,算法,37500.0,真为国际管理咨询（深圳）有限公司,深圳,2.0,本科,、硕士以上学历，2年以上算法工程师经验2、负责语音信号处理技术的算法、语音降噪算法优先3、其他人脸识别、视频、图像等算法工程师亦可考虑。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,算法工程师/芯片安全分析工程师,算法,10500.0,广州众诺电子技术有限公司,广州,0.0,无,岗位职责：1.根据芯片安全攻击的需要，对侧信道泄露的信号进行处理并分析。2.协助研究攻击方法与攻击技术 。3.参与算法的软件和硬件实现。任职要求：1.信息安全、密码学、通信与信息系统、电子工程、数学等相关专业本科及以上学历。2、专业技能：（1）具有安全防护的相关理论知识；具有密码/芯片安全攻击和防御等领域相关工作经验；（2）有密码算法基础（DES、RSA、ECC、SM2、SM4）。（3）熟悉能量分析攻击的各种方法（包括SPA、DPA、CPA），有过侧信道攻击或错误注入分析经验者优先。（4）了解Java、Matlab、C语言，熟悉数字电路设计基本知识。3、有软件开发经验以及了解密码算法原理或从事过相关工作者优先；4、工作认真、积极主动、严谨、敬业、具备团队精神。,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
