,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Sql,Python,Mysql,Oracle,Java,Hadoop,Linux,Spark
157,大数据服务工程师,数据,12500.0,上海爱数信息技术股份有限公司,上海,3.0,本科,"岗位职责：1，负责面向售前顾问和销售，对产品技能进行输出，协助大数据产品项目竞标；,2，负责对区域重点的项目进行交付支持，承担项目交付经理的管理角色；3，负责与大数据研发后台的沟通对接，为区域客户的售前和售后工作提供技术咨询和支持服务；4，关注业界动态，调查分析竞争对手，追踪同类产品的发展变化，推进公司产品竞争力的提高。,岗位要求：1，大学本科及以上学历，计算机相关专业；,2，具有较强的团队合作意识和一定的沟通交流能力；3，熟悉交互设计方法，对用户体验有深刻认识和实战经验；4，熟悉ELK架构，对Elasticsearch、Logstash、Kafka、Fluentd、Kibana中至少一种或多种有操作经验；5，具备用户分析、竞争对手产品分析、数据分析及解读能力，以及良好的定性分析、研判能力；6，能够接受适度的出差",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,供应链数据分析员（大田大明）,数据,5250.0,豪雅光学,杭州,2.0,大专,技能素质熟练Excel或者统计软件，逻辑性强，较强的数据敏感性有生产计划方面工作经验良好的英语读写能力有良好的沟通能力、计划管理能力、数据能力、执行力。职责与工作任务负责日常生产数据的收集整理并汇总分析，从数据汇总中能够发现异常值，及时准确汇报；协助供应链经理处理供应链相关事务,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,大数据分析与应用研究所--行政助理,数据,5500.0,北京师范大学-香港浸会大学联合国际学院,珠海,0.0,本科,"Job DescriptionThe appointee will be mainly responsible for:1) Administrative and clerical supports on office daily works;2) Event organization;3) Oversight of the facilities in the Institute;4) Foster and develop close working relationships with external agencies/organizations;5) Provide assistance for research;6) Other duties as assigned.Job Requirement1. Bachelor degree or above;2. Proficiency in MS Office software;3. Fluency in written and spoken English;4. Candidate should be interested in the applications of data science and big data analysis. Study or working experience in projects of data science, computer science and engineering,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,销售数据分析/品牌主任,数据,9000.0,亨得利集团,上海,,无,"Job DescriptionThe appointee will be mainly responsible for:1) Administrative and clerical supports on office daily works;2) Event organization;3) Oversight of the facilities in the Institute;4) Foster and develop close working relationships with external agencies/organizations;5) Provide assistance for research;6) Other duties as assigned.Job Requirement1. Bachelor degree or above;2. Proficiency in MS Office software;3. Fluency in written and spoken English;4. Candidate should be interested in the applications of data science and big data analysis. Study or working experience in projects of data science, computer science and engineering,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,数据实习生,数据,2250.0,重庆誉存大数据科技有限公司,重庆,0.0,大专,岗位职责：1、协助部门及时完成相关新闻文档、技术文档的标签标注2、完成上级交代的其他日常工作。任职要求：1、能熟练运用Excel、word、ppt等办公软件；2、有较强的责任心、时间观念及团队协作精神；3、性格沉稳，有耐心，工作细心；4、能进行良好的沟通表达，爱阅读4、应届毕业生，信息技术、计算机软件等相关专业优先5、办公地点灵活安排（可在家办公）,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,数据统计分析专员,数据,5250.0,中际联合（北京）科技股份有限公司,天津,2.0,大专,完成销售业绩、回款等具体指定的数据统计分析工作；2.负责销售机会管理，审核统计工作；3.编制并上报销售管理统计表，建立和健全统计台帐制度；4.协调管理U8系统，维护和更新统计数据平台；5.做好统计资料的保密和归档工作；6.结合统计指标体系，完善和改进统计方法；7.归纳整理统计的原始记录、报表，力求做到资料齐全，数据准确，信息灵通，不出差错。1.统计学、财务相关专业优先录用，熟悉出纳、会计工作人员优先录用；2.熟练使用各种办公软件，精通各类EXCEL使用；3.年龄38岁以下，男女不限；4.熟悉ERP销售、财务管理流程，***熟悉用友U8软件；职能类别：										其他									,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,大数据实战案例开发及实践导师,数据,30000.0,北京外企人力资源服务有限公司,北京,3.0,本科,"岗位职责：1、在比较自由的环境中，负责管理大数据应用项目的开发，不断精进，研究新的技术，设计各类新的实践项目；2、负责带好理工学院的优质学员，指导其学习和技术实践。3、开发新的大数据相关实践类课程，对课程内容，时间，周期，形式，师资，教学方式，课程大纲，相关软硬件等进行策划；4、负责对接合作企业（包括百度、滴滴、华为等大厂）的技术人员，做好技术能力模型输出、项目落地、课程策划、知识萃取和共同讨论完成课程内容。岗位要求：1、统计学、应用数学、计算机本科及以上学历，硕士、博士优先，工作3年以上；2、熟悉数据库，熟练使用SQL，掌握SPSS、SAS、Python中12门数据处理和分析工具3、深刻理解并独立实现过相关算法（回归，决策树，分类问题，深度神经网络，图模型，概率统计，最优化方法等）；4、具有丰富的海量数据处理经验，以及对实际问题的抽象能力，有良好的建模能力，并且有实际应用体现；5、有过用数据分析方法成功解决业务问题的项目经历，有很强的商业意识和业务分析能力；6、表达能力优秀，逻辑思路清晰，较强的创新能力、学习能力，有良好的计划和执行能力。北京开课吧科技有限公司公司官网：http://www.kaikeba.com/about公司介绍慧科集团创立于2010年8月，是中国高等教育和职业教育综合服务平台。在高等教育领域，通过旗下“慧科教育”为中国高校提供战略性新兴产业人才培养解决方案；旗下“高校邦”为高校提供在线教育智慧学习平台。在职业教育领域,通过旗下“开课吧”为大学生及互联网从业者提供以职业发展为导向的实用技能培训。集团旗下设立专注教育与信息技术深度融合的“慧科研究院”以引擎之势助力集团持续洞悉和引领行业发展趋势、打造教育创新生态。",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,大数据开发资深工程师,数据,22500.0,苏州佳祺仕信息科技有限公司,苏州,3.0,本科,你的工作：流式数据的数据分析平台中各种打怪开发我们的要求：4选2：JAVA、Scala、Python、C#7选2：Hadoop、Spark、kafka、ES、MongoDB、Hbase、Flink加分项：ETL、machine learning、data mining、virtualization technology你将得到：零食、美女、技术等各种你想得到想不到的属性加成,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
165,数据实习生,数据,2500.0,科沃斯机器人股份有限公司,苏州,0.0,大专,岗位职责：1、 对图像、视频等数据进行清洗、处理和标注等。比如清洗无效的视频/图像，视频抽帧，图像拉框标点等。2、 对结构化的数据做基本的统计分析。资格要求：1、 学历和专业不限，理工科优先；2、 实习时间3个月以上，实习半年以上者优先；3、 做事耐心细致，工作踏实，有良好的沟通与团队合作能力；4、 熟练掌握电脑常用的基础软件操作；5、 能够承担一定的工作压力；6、 有数据清洗经验者优先；7、 会一种脚本语言者优先；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,数据录入员,数据,3750.0,汇钻银航（广州）珠宝产业投资有限公司,广州,0.0,中技,、中专及以上学历，有相关经验者优先；                                                          2、熟悉操作office软件，熟悉掌握Excel表格函数用法者优先；3、具有数据敏感度，严谨细心的工作态度，有耐心，思维敏捷，踏实稳定；4、具备相关珠宝基础知识、了解钻石证书内容优先；5、掌握相关的摄影技术者优先。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,数据编辑,数据,3750.0,长沙凝晖信息科技有限公司,长沙,0.0,无,"工作职责：1、后台数据审核和校对；2、反馈平台bug,定期对平台提供优化建议；任职资格：1、熟练操作计算机和office办公软件；2、工作认真细致，责任心强；3、有过出版审校经验；4、良好的逻辑思维能力和沟通表达能力；",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Solution Consultant, EXALEAD大数据技术顾问",数据,,达索析统（上海）信息技术有限公司,上海,0.0,硕士,"Imagine New Horizons  Dassault Systèmes, the 3DEXPERIENCE Company, provides businesses and people with virtual universes to imagine sustainable innovations. Serving over 200,000 customers in 12 industries, from high-tech to life sciences, fashion to transportation, we help businesses and people around the world to create sustainable innovations for today and tomorrow. At Dassault Systèmes, we empower people with passion to change the world. Let’s open new horizons together with the power of 3DEXPERIENCE virtual universes!  What will be your role? · The Solution Consultant masters 3DEXPERIENCE Platform usage and value thru Industry Solution and Industry Processes. He understands how the products fulfill the business needs. The Solution Consultant contributes to increasing the deal size, fasten deal signature and secures successful go-live. · The Solution Consultant is also able to articulate the overall 3DEXPERIENCE Platform value. · The Solution Consultant contributes to the execution of the Value Engagement activities and deliverables, according to the different phases, at our customers and partners · Value Assessment: Capture and analyze customer business processes and business drivers · Value Definition: Engineer TO BE Business processes and demonstrate 3DEXPERIENCE value leveraging · Industry Solution and Industry processes · Value Commitment: Details TO BE Business processes to work in the mindset of the OOTB/ISE coverage and build Task and Item list for Service project sizing. · Share project details and skills to the delivery team (DSIS or SI Partners). · Value Delivery: Support customers / Partners in 3DEXPERIENCE learning, deployment, and best usages · The Solution Consultant closely collaborates with Industry and R&D teams, to contribute to Industry Offer and 3DEXPERIENCE Platform enhancements · The Solution Consultant is maintaining best in class level of expertize · The Solution Consultant capitalizes on-field activities · The Solution Consultant support the Solution enablement of their Partners, and Sales Ecosystem.  What key success factors? · Master of Sciences in engineering or similar experience · Strong industrial engineering background · 3DS Company Knowledge · 3DEXPERIENCE S",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,数据核查,数据,5250.0,重庆软维科技有限公司,苏州,1.0,大专,、使用工具搭建数据引入流程，对接各单位联调数据引入、进行数据质量初步核查；2、对接各单位关于数据质量核查结果的疑问，结合数据质量核查逻辑及数据库数据，编写相应的hive/shell/python脚本，对数据进行查询、处理，反馈核实情况； 3、配合完成数据质量核查模型开发过程中的一些拆分子任务，输出相关的代码； 4、配合完成数据质量核查模型相关文档的整理、优化工作；5、基于数据质量核查结果数据，按要求每月/每周输出报告,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,数据统计文员（双休+五险）,数据,3750.0,立享互联网产业（重庆）有限公司,重庆,0.0,大专,、协助上级完成具体指定的数据统计分析工作2、编制并上报統计表，建立和健全统计台帐制度3、协调管理统计信息系统，维护和更新统计数据平台4、做好统计资料的保密和归档以及产品的录单工作5、结合统计指标体系，完善和改进統计方法。任职资格:大专及以上学历，接受优秀应届生实习2、有相关工作经验者优先考虑;3、熟练使用基本的办公软件4、工作认真负责，良好的团队合作精神  上班时间：  朝九晚六 周末双休,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,数据库开发,数据,12500.0,上海文思海辉金信软件有限公司,沈阳,3.0,本科,主要做营销管理平台和绩效管理平台的。项目周期是3-5个月。项目结束之后，安排在锦州，大连，沈阳等这些城市出差。包住宿，出差补贴60/天16年及以前毕业，统招本科学历，学信网可查。1.3年及以上开发经验，熟悉oracle、MySQL、SQLServer基本管理、体系结构与性能优化及相关工具的使用；2.熟悉Unix/Linux操作系统的使用；熟练使用Sql查询及存储过程、shell脚本；3、精通etl架构，了解日常作业的部署和调度。4、了解星环大数据平台产品优先5、接受出差。,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
172,大数据开发工程师（上海-AI）,数据,22500.0,云从科技,上海,3.0,本科,岗位描述：1.负责公司大数据平台的架构设计、研发和调优工作，持续提升平台系统的可用性、可靠性、可维护性和可扩展性；2.负责企业级数据应用的架构设计和核心模块开发，推动后台基础策略算法和数据挖掘分析能力快速落地并实践；3.布局大数据团队的技术演进，洞察新技术的发展，组织团队的学习与培训。岗位要求：1.本科及以上学历，计算机相关专业；2.3年以上的大数据处理工作经验，对主流大数据技术和框架（如Hadoop、Spark、Flink、Flume等）有深入理解和充分实践；3.精通分布式存储相关技术，不限于HDFS、Hive、Redis、Mongodb、ElasticSearch、Kafka、Sqoop等；4.熟悉Linux操作系统，掌握Java、Scala、Python等至少一种开发语言，熟悉分布式应用设计；5.熟悉常用的分类、回归、聚类等算法及应用场景；6.对主流的研发流程、质量控制方式、项目管理方式有充分的理解；7.具备自主的学习能力和追求卓越的态度，具有良好的团队协作精神。,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
173,数据库管理员,数据,14583.33,宁波跃光信息科技有限公司,宁波,1.0,大专,"岗位职责：1.负责数据库系统的架构设计、开发、优化、安全；2.负责业务系统数据库管理，包括数据库日常维护，系统数据安全以及权限管理、故障处理、日常错误情况处理等等3.负责数据库备份管理、监控备份情况，恢复策略方案的制定与实施；MySQL数据库性能监控和调优，数据备份/恢复计划的制定、执行4.负责依据业务需求优化数据存储结构，负责数据库系统部署方案的计划、设计和实施5.负责根据开发人员的设计审核并创建数据库存储结构、数据库对象,负责参与SQL存储过程的编写等数据库应用开发6.负责对应用程序进行审查，为开发人员提供数据库支持（书写存储过程）。7.负责对应用程序进行MySQL审核、监控，执行数据库告警及应急处理；8.负责系统数据库定期检查，进行性能分析与调优，充分保证信息系统数据的安全及高效运行；任职资质：1.计算机或相关专业本科以上2.精通MySQL,有五年以上的数据库开发经验3.作事有责任心，并能承受高强度工作压力4.逻辑思维能力强，作事严谨5.良好的人际关系、沟通能力和团队合作精神",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,数据运营主管,数据,16000.0,深圳法大大网络科技有限公司,深圳,0.0,本科,、根据公司业务开展的需求，建立与之匹配的各部门效能分析方法，参与设计公司经营分析仪表盘；2、按照要求整理分析公司运营数据、销售数据，财务数据，监控指标异常情况并及时反馈；3、通过设计数据报表、可视化等方法为业务部门提供日常数据分析支持；4、参与运营系统建设，推动公司数据分析模块的系统化、可视化、自动化、产品化；5、其他运营支持相关工作。任职条件:1、本科及以上学历，专业不限，2年以上的经营分析/数据运营/销售运营工作经验，有SAP、ERP、CRM等相关系统操作经验者优先。2、熟练掌握office软件，精通Excel、PowerPoint；3、优秀的沟通表达能力、具备商业分析思维。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,数据分析师（etl）,数据,17500.0,杭州海康威视数字技术股份有限公司,杭州,3.0,本科,						1.																		,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2020技术培训生（数据方向）,数据,12500.0,维信现贷上海分部,上海,0.0,本科,项目介绍：专门的技术培养计划，最cool的导师1V1，全面的技术培养课程，鼓励你接触最前沿的技术革新，为你搭建成就事业的平台。培养方向：研发方向、数据方向、风控方向职位要求：1. 应届本科及以上学历，计算机软件、信息系统或数理统计类专业；2. 具有良好的学习能力，勤奋努力，积极主动，具有强烈的责任心和集体荣誉感；3. 希望在互联网金融行业发展，愿意接触新知识、新技术；4. 对IT或数据分析类工作有一定认识，对IT技术、软件开发、大数据等有扎实的基础。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,数据库工程师,数据,14000.0,天阳宏业科技股份有限公司,成都,2.0,大专,ETL，数据仓库，数据挖掘，数据库开发岗位职责：1、负责数据仓库项目中的数据类开发工作。2、负责数据仓库模型设计、ETL开发。3、负责项目技术架构中数据仓库部分的规划和设计实施。任职要求：1、具有2年及以上数据仓库项目开发经验，熟悉数据仓库概念和数据仓库项目的实施流程；2、精通PostgreSql、MySql等任意一种关系型数据库开发，熟悉海量数据处理及性能优化优先；3、熟悉任意一种ETL开发工具（Kettel、存储过程、MapReduce），熟悉数据处理流程；4、熟悉一种数据仓库平台，参与过数据仓库、数据平台项目；5、具备较强的数据分析能力；6、熟悉linux操作系统，至少熟悉一种脚本语言shell/phython/java/R语言；7、熟悉hadoop和spark优先；8、能接受适应出差。职能类别：软件工程师关键字：数据库开发,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
178,数据库管理工程师,数据,12500.0,济南诺勤信息技术有限公司,乌鲁木齐,5.0,本科,、负责数据中心数据库的规划设计、管理维护、状态巡检、参数调优、数据备份、故障处理工作，保障系统的健康稳定运行2、负责数据整体架构设计，系统备份方案、负载均衡、容灾方案、安全作管理经验方案的设计和实施3、配合系统架构师进行数据库建模4、制定、编写标准化的数据库备份、恢复的方案并推广5、新技术的研究，常见故障诊断、系统优化文档编写，定期给公司运维团队做专题分享6、对运维人员进行数据库方面的运维指导，定期对运维人员进行数据库维护方面知识的培训;7、使用shell、 pythons编写自动化运维工具，优化运维流程8、完成上級交办的其它工作。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,数据分析(J11224),数据,12500.0,哈啰出行（哈罗单车hellobike）,上海,1.0,本科,工作职责:1、参与项目实施，并进行数据监控追踪，定期对数据挖掘模型进行维护、评估和重构，以数据分析驱动综合运营效率提升；2、从业务痛点出发，密切配合一线，解决区域合理绘制、优化选址、车辆寻找及调度等问题，实现对于位置等相关数据的验证、统计、可视化；3、深入理解公司业务，利用数据挖掘等方法对多种数据源进行诊断分析，建立数据模型并持续优化，为公司运营决策、产品设计等方面提供数据支持；4、依据时间、空间多个维度的供需关系，负责项目的专题分析、需求调研，通过数据分析给业务方输出高质量的分析报告，为业务发展提供决策支持；任职资格:1、全日制本科及以上学历，统计学、计算机、GIS、空间信息技术等相关专业；2、1年以上数据分析相关工作经验，互联网背景优先，优秀应届生可放宽条件3.、熟练使用SQL/Python/其它编程语言，熟练EXCEL、PPT技能；4、优秀的逻辑思考能力，对数据敏感，熟悉聚类、回归模型、神经网络等机器学习算法5、具有较强的学习能力和意愿，善于创新、思维活跃，具备良好的自驱能力和团队合作精神加分项：熟悉机器学习、深度学习，数据挖掘，具有算法项目实操经验熟练使用ArcGIS，熟悉geohash原理，具有空间建模经验,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,大数据高级研发工程师,数据,22500.0,贵安新区新特电动汽车工业有限公司,北京,5.0,无,"负责公司数据存储的架构设计和方案集成； 2.负责公司数据存储与其它产品的对接设计； 3.负责公司存储架构的预研规划。  岗位要求： 1.统招本科及以上学历，计算机专业。8年以上研发经验，5年以上大数据架构师经验； 2.具有Hadoop，HBase等大数据实际项目经验，对源码有深入研究； 3.熟悉Linux集群和有分布式数据库\存储经验者优先； 4.深入理解Hadoop，HDFS，MapReduce原理，熟悉分布式计算模型或有高效索引技术经验者优先； 5.具有PB级海量数据存储经验者优先,在数据处理，数据挖掘，数据分析等方面有丰富经验； 6.对研究技术有浓厚兴趣，善于总结沉淀，乐于与他人分享。",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
181,数据库工程师,数据,14000.0,上海舟恩信息技术有限公司,北京,3.0,本科,、计算机、数学等相关专业，本科及以上学历，三年以上数据仓库建设经验，至少两年以上数据模型设计经验；2、熟练掌握维度建模理论，有能力对业务数据调研分析，完成仓库和模型的设计；3、有大型数据仓库和数据模型软件项目的设计、技术实施经验；4、较强的逻辑思维能力和学习能力，对数据有敏锐的认知力，工作态度踏实、认真、积极主动，能承受工作压力。岗位职责：1、负责数据仓库及数据模型设计；2、负责各业务线业务调研，根据业务及日常需求来优化模型；3、负责组织核心数据仓库及数据模型代码开发；4、负责各业务条线数据需求对接。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,高级Java开发工程师-云平台数据处理,数据,22500.0,欧特克软件（中国）有限公司,上海,3.0,本科,"软件开发工程师-Fusion 360数据服务 关键词：JAVA, Web后端 在这个职位上，你将加入Autodesk云平台产品-Fusion  360的数据服务管理团队。我们的团队主要负责建立和运行Fusion  360关键数据服务和架构。你将有机会跟来自其他国家的Fusion  360研发团队一起合作，来实现产品的功能。 Responsibilities:  1. 与Fusion 360约8名研发工程师一起合作 2. 与开发团队成员一起实现来自产品经理和客户的需求。与来自美国或其他国家的团队一起紧密合作。 3. 与Product  Owner，用户体验部门等沟通，理解他们的如下需求： （1）设计、实施、归档以及维护软件模块和服务 （2）为已完成的代码实施良好的测试，与测试工程师或相关领域专家一起设计和实施测试任务 （3）与客户沟通了解客户问题/顾虑并将之考虑到团队规划中 4. 开发自动化测试、性能分析和弹性分析等工具   Requirements:  1. 本科以上学历，计算机或相关专业 2. 扎实的Java相关项目或工作经验 3. 熟悉Web相关技术，比如REST APIs, Python, JavaScript, Node.js 4. 具有使用Shell,  Python或其他脚本语言进行自动化测试的经验 5. 熟悉微服务知识，熟悉AWS服务或其他类似的云服务 Preferred  Qualifications:  1. C++编程经验会是一个优势 2. 3D建模或视觉化知识是一个优势",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
183,数据分析师（广州）,数据,12500.0,上海宏路数据技术股份有限公司,广州,2.0,本科,岗位职责：1、沟通客户业务需求，结合hypers产品体系，设计分析框架与解决方案；并与项目组其他成员相互配合，完成解决方案的落地与交付；2、配合客户经理处理日常业务运营需求，参与完成数据分析相关工作；3、在项目中收集客户对产品功能和应用场景的需求，分析并整合相关信息，支持产品功能的迭代与内部行业方法论的升级；4、探索内部数据，通过常规数据分析、数据建模和机器学习等岗位职责：1、沟通客户业务需求，结合hypers产品体系，设计分析框架与解决方案；并与项目组其他成员相互配合，完成解决方案的落地与交付；2、配合客户经理处理日常业务运营需求，参与完成数据分析相关工作；3、在项目中收集客户对产品功能和应用场景的需求，分析并整合相关信息，支持产品功能的迭代与内部行业方法论的升级；4、探索内部数据，通过常规数据分析、数据建模和机器学习等方法，挖掘数据价值。任职资格:1、本科及以上学历，商业数据分析、统计学、信息管理等理工科专业优先，；2、1-3年相关理论背景或工作经验，有DMP标签经验尤佳；3、熟练使用Excel，掌握常用公式/常见图表/数据透视表等；熟练使用PPT；4、熟练使用SQL，且具备通过Python或R进行数据处理的能力；5、有责任心、做事细致、思维缜密、善于沟通、具有团队协作意识；6、良好的英文读写和沟通能力。,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,金融数据分析员(双休+完善晋升）,数据,5250.0,广州汇骏信息咨询服务有限公司,广州,0.0,大专,岗位要求：1、负责提供外汇理财咨询、建议服务， 制定相应的投资组合和策略2、学习跟踪宏观经济发展动态，研究国际金融业的发展趋势及走向3、参与交易团队计划及策略的制定，进行交易风险监控4、有数据分析、统计的细心和耐心，思维敏锐，对数字敏感任职资格：1、大专以上学历，有管理能力者/优秀应届毕业生/有行业经验者优先2、敢想，敢做，有野心挑战高薪的你欢迎加入3、热爱互联网金融，对金融行业未来前景有清晰的认识，并愿意扎根下去4、公司提供全方位培训，提供无限晋升发展舞台5、良好的工作态度、良好的团队协作能力，能承受一定的工作压力薪酬待遇：1、一经录用，公司将提供全套完善的金融专业知识及技能培训，并提供畅通公平的晋升空间；2、上班时间：周一至周五，早上9：30-12:00下午13:30-17：30；周末双休；享受国家公共假期。3、底薪+高佣金+奖金职业发展与规划：职业前景：每名雇员都会得到重视，通过不断的学习和努力，每个人都将拥有广阔的职业发展空间。个人与职业道德：我们希望所有雇员都要遵守高度的个人与职业道德。工作环境：舒适的办公环境，良好的工作氛围，互帮互助的学习热潮，公司有冰箱，微波炉，方便我们的同仁。职位培训：优秀的导师，资深的专业人士，定期提供给您多种技术培训，助您自我提高实战投资技能。薪酬福利：具有业界竞争力的薪酬和各种福利。底薪＋高佣金+丰厚奖金＋职位晋升＋季度旅游＋年终业绩分红。优秀员工可直接派往各分公司担任高管，负责分公司全面工作，工作优异的员工或管理人员将会享有派往华尔街总部学习进修的机会。晋升机制：我们提供规范的员工晋升机制，以及人才选拔和培养机制。※特别声明：1、请求职人员认真阅读本公司招聘介绍，如本公司职位与您的职业生涯规划相符，欢迎应聘。2、聘用职位性别不限，一经录用，公司将提供免费岗前培训及晋升机会。3、请勿重复投简历，否则将会对你的录用带来不便有意应聘者，可以携带个人简历以及身份证亲临公司预约面谈，投简历后一两个工作日内会有人联系你，请保持电话畅通！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,电商数据挖掘工程师,数据,12500.0,蓝色光标-欧泰谱（CRM营销服务）,上海,1.0,本科,）负责各品牌阿里数据工厂模型建设，用所建模型进行人群精准圈定，提供业务端使用  2）负责与品牌和投放团队沟通投放策略，分析拆解需求形成数据工厂建模需求  3）基于企业庞大的客户数据进行挖掘分析，例如消费行为、评价、商品挖掘分析  4）负责将模型概念演绎为通俗易懂的概念和品牌进行阐述   职责描述： 1）统计学、计算机学科、数学等相关专业本科及以上学历  2）理解各种数据分析、数据挖掘的方法及原理，并能熟练运用  3）1年以上数据挖掘和分析经验，能独立构建模型并分析  4）有良好的商业数据敏感度和分析能力  5）有优秀的学习能力，并有较强的自我驱动能力和思考能力  6）良好的团队沟通合作能力,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,，银行招催收专员/短期数据/晋升大/底薪3k4k,数据,9000.0,传众网络科技,武汉,0.0,高中,什么样的工作才算一份好的工作呢？薪资福利诱人、职业发展光明还能和BOSS一起愉快的玩耍，想必是极好的。不论你是声线甜美的萌妹，还是嘴炮高能的帅咖让通联为你尖叫！期待在全新的招聘季，遇见更好的你！S_CCESS就差U啦！（一）岗位职责：1. 以电话平台对逾期信用卡客户款项进行提醒及催缴，降低银行信用卡资金风险；2. 帮助持卡用户留有自己良好的信用记录；（二）职位要求：1. 年龄在20-35周岁，大专及以上学历，有经验或者是优秀者可放宽至高中、中专；2. 普通话标准，表达流利；3. 熟练掌握基础电脑操作；4. 认可银行呼叫中心行业，愿意从事外呼岗位；5. 吃苦耐劳，有团队协作精神。（三）薪资福利：1. 薪资3000-4000+提成+激励奖金，综合薪资4000-7000；2. 带薪培训；3. 购买法定五险；4. 入职满一年后按照工龄享受5-10天年休假。5. 享受公司结婚、生育等礼金，过年开关门发放红包，6. 工会福利，包含生日活动、礼物，重大节假日举办活动及发放礼品，各种摄影、篮球、羽毛球、瑜伽、舞蹈等协会可以参加，均有专业教练提供培训。工会更鼓励员工自己策划活动，可向工会提交策划方案，方案通过，即可申请经费举办活动。7.不定期奖励旅游及培训机会，公司提供多种职业发展路径。业务线：见习代表-初级代表-中级代表-高级代表-资深代表运营管理线：业务专员-团队组长-项目主管-运营经理-运营总监业务专员-品质管理岗（质检）/培训师-运营主管-运营经理-运营总监激动人心的最后一步！只要点击“申请职位”就可以吧热乎乎的简历送到HR的手中啦~你就SUO简不简单！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,数据分析（应届生亦可）,数据,6000.0,美律电子（深圳）有限公司,深圳,0.0,本科,任职要求：1.本科学历，应用统计学、数学等相关专业，英语4级及以上，读写能力较好，意向数据统计分析等相关岗位；2.具有品质经验或在校所学专业课程如有：概率论、数理统计、统计学、假设检验等优先录用；2.性格温和开朗，数据敏感度较高，逻辑思维能力较强。工作内容：1.查看各部门产品MSA偏性线性GR&R、SPC管制线的计算，稳定性情况；2.利用minitab软件或R語言实现CPK/PPK的计算；3.协助公司工程等相关部门做制程能力指标数据分析及制造人机料法环各方面的量测统计。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,数据工程师,数据,15000.0,深圳绿米联创科技有限公司,深圳,1.0,本科,"岗位职责1. 针对算法对数据场景的需求，进行数据收集、数据预处理及数据分析等工作；2. 负责数据采集项目的方案设计，包括数据需求的细化、采集场景的构建、设备的安装调试、设备参数的调整、人员的调度安排及数据采集进度的推进和跟踪；3. 负责编写脚本对数据进行整理归类，开发数据处理工具、数据标注系统、数据管理平台等；4. 负责数据集的管理，包括文本类、语音类、图像类、视频类等；任职要求1．全日制本科以上学历，计算机相关专业，一年以上工作经验；2．熟悉Python开发语言，及常用的爬虫、数据处理、图像处理模块，包括numpy, pandas, opencv等；3. 对数据敏感，较强的逻辑分析能力，较强的总结和归纳能力，文档撰写书面表达清晰；4. 有良好的语言表达和沟通协调能力，责任心强；5. 思维缜密、逻辑清晰，善于分析项目实施过程中可能存在的问题，并提出解决方案；6. 具有强烈的团队协作意识，对工作积极严谨、认真负责；7. 具备AI数据项目经验者优先考虑；",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
