,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Cad,Pmp,Word,Ppt
169,项目管理,项目管理,12500.0,苏州上声电子股份有限公司,苏州,3.0,本科,英语或相关专业，本科及以上学历性别：男三年以上相关工作经验，有良好的沟通能力和技巧，有熟练的英文听说写能力（英语六级以上），以及较强的自我学习能力和文字表达能力，有一定的项目管理经验或整车厂项目管理经验者优先录用。,0.0,0.0,0.0,0.0,0.0
170,项目管理,项目管理,11500.0,大连和升控股集团有限公司,大连,5.0,本科,岗位职责：2负责制定各子公司年度经营计划和年度经营目标；3负责完成对子公司的经营业绩考核工作；4负责公司经营管理活动的统计汇总；5负责公司经营情况统计与分析工作，对公司所处的外部环境进行监测和分析工作；6负责了解、掌握国家和地方有关金融政策及各种优惠条件；7负责协同子公司落实、实施投资公司发展战略和年度发展计划；8负责监督各子公司贯彻执行总公司的各项规章制度和工作程序；9负责完成对子公司日常管理的指导、控制以及经营数据的手机、汇总和分析等工作，协调集团与子公司之间的业务关系；10负责掌握各子公司的经营情况，按计划进行监督检查，对异常情况提出相应措施。素质要求：1三年以上集团公司管理相关工作经验，熟悉国家各项经济法规和政策，擅长公司计划管理，金融、投资、工商管理专业全日制本科毕业。职能类别：										项目经理/主管									,0.0,0.0,0.0,0.0,0.0
171,Vehicle Project Manager[DE]  汽车项目管理[德语],项目管理,12500.0,览茵汽车设计咨询（上海）有限公司,上海,3.0,本科,"Task description:职位描述：Carry out and update project plans and follow up project schedule执行并更新项目计划，跟进项目进度Coordinate and communicate smoothly with colleagues at the German headquarter 和德国总部的同事进行项目的协调和沟通Control the cost budget and work out the staff planning控制成本预算，制定工作计划Communicate and coordinate with technical departments about technical problems and solutions according to requirements与技术部门沟通和协调技术问题的解决方案Organize technical meetings and take the minutes组织技术会议并进行会议记录Finish regular reports and presentations完成定期报告和报告Requirements:任职要求：Bachelor degree or above in mechanical engineering, electrical engineering, automotive engineering or any other comparable final degree 机械工程，电子工程，汽车工程或相关专业的本科及以上学历Have several years’experience in automotive industry 拥有多年汽车行业工作经验Good English written and spoken, German is MUST 良好的英语书写和口语能力，德语必须！职能类别：										汽车设计工程师									",0.0,0.0,0.0,0.0,0.0
172,项目经理.（项目管理经理）,项目管理,6500.0,昆明聚仁达电梯有限公司,昆明,5.0,大专,、对电梯安装项目安全、质量、进度、成本管理负责；2、负责监督处理顾客投诉，监督配件及仓库管理；3、负责项目参与人员工作绩效数据的收集、分析、反馈；4、负责监督部门员工的服务和工作质量；5、负责部门档案管理；6、参与公司部门经理会议，及时完成中心总经理交办的其它工作；7、部门费用预算的计划、控制；8、负责完成部门工作成果报告及年度计划的编订。提交营运成果效益评估和改善报告方案；9、参与中心各项制度及各种章程拟定事项；10、人员升迁的资格评审规划、部门人员出勤管理；11、本部门人力发展的规划与推动。任职条件：1、大专以上学历，28岁以上，为人正直、善于沟通、工作责任心强、思想观念新、敢于创新和担当；2、具备工程项目管理、组织、协调的能力；3、有经营成本管理意识；4、有电梯行业工作经历优先录用。待遇：条件优越者薪酬面议。,0.0,0.0,0.0,0.0,0.0
173,项目管理,项目管理,12500.0,中国商飞上海航空工业（集团）有限公司,上海,5.0,本科,"岗位职责: 1.负责组织上航公司各有关部门和中心完成型号项目工作；2.负责上航公司项目协调工作；3.负责公司级项目计划的制定、协调、跟踪与考核；4.跟踪监控各部门和中心级项目计划的制定和实施；5.负责对相关部门和中心的项目计划完成情况进行考核；6.负责定期或按项目节点向发展规划部报告项目进展情况；7.负责编制与部门、中心职责相关的规章制度。 条件要求:1.本科及以上学历,管理学相关专业；2.5年以上的项目工作经历；3.熟悉航空企业工作流程，具有较强的组织协调能力、文字表达能力；4.具备较强的计算机应用能力，具备一定的英语读、说、听、写、译水平。",0.0,0.0,0.0,0.0,0.0
174,项目管理专员,项目管理,8500.0,上海万序健康科技有限公司,上海,3.0,本科,岗位职责：1.协助制定并修改项目管理制度，组织、开发、选用项目管理方法、流程和工具，并形成统一的标准，经公司领导审批严格执行。2.负责项目运行过程资料的收集和管理工作，建立项目档案数据库。3.负责公司以往及现有档案的整理、编目、统计、核查等工作。4.负责项目档案的交接工作，严格按照公司交接程序进行档案交接，及时核查存档情况。5.负责项目调研和项目信息收集工作，为项目决策提供依据。6.组织项目部例会，及项目决策性会议，并跟踪会议要求事项。7.协助整理分析项目管理各类数据，掌握项目进度和费用使用情况。8.负责统计项目的设备、人力等资源的申请及使用情况，及时跟进和处理项目的资源需求。9. 负责培训和指导项目工作开展，对新入职人员进行项目管理培训。10. 完成上级安排的其他工作。任职要求：1.本科及以上学历，五年以上工作经验，二年以上的项目管理办公室（PMO）任职经验，有医药医疗行业项目管理经验者优先，拥有PMP认证者优先。2.熟悉集成实施类工程项目管理，熟悉PMI项目管理流程。3.良好的沟通能力和文档写作能力，能按照规范的项目管理流程，沟通和监控项目过程管理。4.懂得版本控制的基本概念，熟练使用至少一种版本控制软件。5.具有较强的团队意识与良好的沟通能力，高度的责任感，对工作积极严谨，勇于承担压力，较强的学习能力以及快速解决问题的能力。,0.0,0.0,1.0,0.0,0.0
175,翻译业务项目管理（英语到多国语）,项目管理,6000.0,博达乐思信息技术（杭州）有限公司,杭州,0.0,本科,						1．多国语翻译及本地化业务的项目管理；2．与英语客户的业务联系；3．制定业务日程和人员安排计划；4．根据项目内容和客户需求，制订具体作业方案。5. 保持与客户、译者、DTP部门的沟通和协调，确保项目顺利实施；6．确保译文质量符合客户要求；7．大型项目的翻译记忆单元及术语库的维护；8．工作地点可选择：上海或杭州。任职要求:1．大学本科及以上学历，年龄35岁以下；2．优秀的中英文听说读写能力，沟通能力强；3．有较高的职业素养，具备出色的团队合作和敬业精神；4．有本地化或翻译项目管理经验者优先；5．有外企工作经验、海外学习或工作经历者优先。																		,0.0,0.0,0.0,0.0,0.0
176,消防项目管理员,项目管理,6500.0,深圳市铭泰消防技术有限公司,深圳,3.0,大专,工作职责：1.负责安排施工队进场，并对施工过程进行跟进，确保施工达到验收标准；2.负责本项目部在建项目的质量、进度、成本控制、安全生产、客户满意度的管理工作，保证项目各项工作达到预期目标；3.负责向客户收取审核、验收、安检资料，安排申报人员进行消防审批；4.对消防项目进行全程把控，确保通过消防大队验收；5.服务于客户，努力促成合同的顺利完成与实施；6.负责项目预结算的资料整理及跟进；7.负责按照合同约定收取工程款，保证回款的及时性及回款率；8.完成领导交办的其他工作。任职资格：1.大专及以上学历，消防工程专业或自动化、暖通、电气、给排水等消防工程相关专业；2.两年以上主体消防工程管理工作经验，具有相应的技术职称和处理突发问题的能力；3.沟通协调能力强，具备良好的团队合作素质、较强的开拓能力和决策判断力。,0.0,0.0,0.0,0.0,0.0
177,项目管理岗,项目管理,9000.0,京东商城华东区域分公司,上海,3.0,大专,岗位职责：1、对于项目实施过程中的共性问题推动运营单位改善，并跟踪改善结果；2、负责大项目运营前的评估，积极配合区域项目落地工作，收集反馈需协助工作事项；3、主动监控各项数据达成【履约、取件（逆向、调拨）、返单、生鲜、异常清理等】4、定期去商家、运营条线走访，针对指标达成和问题点，定期复盘项目阶段性总结报告。任职要求：1、专科以上，具备物流质控相关工作经验3年以上；2、了解物流行业的运作，需要有项目改善经验；3、熟练使用基础办公软件：word，Excel，ppt；4、具有较强数据分析及问题挖掘能力；5、具有很强学习能力、沟通能力、执行力、能承受高强度的工作压力；6、抗压能力较强；7、具有质控和项目管理经验者优先；,1.0,0.0,0.0,1.0,1.0
178,行政项目管理,项目管理,5250.0,中兴通讯股份有限公司,深圳,0.0,无,、负责海外员工住宿事宜接洽；2、负责海外员工食堂事宜接洽；3、负责行政部重点工作跟进及汇报；4、会议组织，会议任务、目标下达及分解、会议纪要输出，5、负责落实、跟踪、督促行政部各项会议决议的执行；6、负责行政部日常事务组织与跨部门协调工作；7、完成领导交办的其他工作。任职要求：1、大专以上学历、英语可作为工作语言；2、具备多部门协调的工作经验，适应国内外短期出差；3、具备较强的执行能力、计划与组织能力、时间管控能力；4、可熟练使用办公软件、抗压力强。,0.0,0.0,0.0,0.0,0.0
179,PMO项目管理专家（供应链方向）11246,项目管理,30000.0,瓜子二手车,北京,8.0,本科,						岗位职责:1. 深度支持全公司 90%的业务线和一级部门，负责公司运营、业务、技术等各类型战略项目组合管理的工作，打通业务和技术，保障战略目标达成；2.为公司战略落地提供有力支持，保证决策在各部门、团队快速传递并有效执行；3.建设公司项目管理体系，落地和完善公司级各项制度；4.深入理解业务，识别组织效率/项目交付过程/研发管理等领域的问题，提供分析建议以支持决策，推进方案实施。 任职资格:1. 本科以上学历，具有丰富的项目管理实战经验，实际管理项目的时间不低于5年；2. 具有扎实的项目管理理论储备，诸如PMP、ACP、PRINCE2等各种项目管理专业认证；3. 需要具备良好的项目管理职业素养，面对非常复杂、极具挑战的环境和项目。,0.0,0.0,1.0,0.0,0.0
180,通信设备/项目管理专员（可应届）,项目管理,5250.0,哈尔滨金戈大通通信技术有限公司,哈尔滨,0.0,大专,"						岗位职责：1.负责移动通信工程（无线）的工程督导、站点开通、调试等工作；2.负责工程项目的物料、工程质量、进度和安全管理；3.工程项目的开通测试、验收、物业现场协调等工作。任职要求：1、大专以上学历，施工现场管控水平较高的成熟人员可以适当降低学历要求；2、身体健康, 性格开朗，有较强的客户沟通能力；联系电话：13212939131																		",0.0,0.0,0.0,0.0,0.0
181,项目管理（员）,项目管理,4250.0,武汉华沃电源技术有限公司,武汉,2.0,大专,★岗位职责1、建立健全工程项目管理制度并认真贯彻执行技术、质量安全规范，合理做好各项分配工作，做好劳动力、材料等平衡调度。2、对项目工程进行组织管理、计划管理、施工及技术管理、质量管理、资源管理、安全文明施工管理、外联协调管理、竣工交验管理；3、对工程现场施工进行全面管理，完成公司下达的施工生产任务及各项主要工程技术经济指标；4、审核施工图纸，会同设计师、工程总监参与图纸的认定及修改不合格部分，并处理施工中的疑难问题。5、督促采购对材料的及时采购，督促客户对工程款的及时缴纳，确保工程施工进度。6、负责按合同期制定工程施工计划，并编制工程施工进度表，严格按组织计划实施。7、监控施工用料的质量，负责施工技术、质量、安全、消防、文明施工活动，确保施工质量。8、做好项目竣工验收工作，整理各项资料，进行归档。★任职资格1、本科及以上学历，机电、工程造价、工程管理等相关专业；2、熟悉相关工程标准、规范，熟悉工程规划设计方案；3、熟悉工程管理、招标投标、成本控制等方面工作，具备良好的协调能力和解决问题的能力。4、富于长信精神和团队精神，勇于接受挑战；5、动手能力强，有良好的学习意识，能适应外派和长期出差。★薪酬福利待遇：1、工作地点：湖北省武汉市东西湖区或公司项目所在地。2、按国家规定缴纳五险一金（养老保险、医疗保险、失业保险、生育保险、工伤保险+公积金），带薪年假。3、一日三餐，包吃包住，自建办公楼和宿舍，宿舍两人间带空调、热水。4、系统的入职培训和在职培训，以及不定期的户外拓展训练。 5、灵活、通畅的职业发展平台以及晋升机会，人性化的企业管理文化。,0.0,0.0,0.0,0.0,0.0
182,应届毕业生（工程项目管理岗）,项目管理,4500.0,武汉瑞嘉系统科技有限公司,武汉,0.0,大专,、本科以上智能化、电子工程、机电或装饰类专业，应届毕业生；2、熟练操作办公及CAD软件；3、具有较强的组织管理、沟通协调能力，能协调解决施工过程中的各项问题，工作积极主动。4、有良好的理解和沟通能力、较强的组织协调、团队协作能力及解决问题的能力；5、勤奋踏实、有良好的职业道德、有较强的责任心和敬业精神，严谨稳健.6、品行端正，表现优秀、无不良记录；7、服从公司统一安排和管理,0.0,1.0,0.0,0.0,0.0
183,项目管理/跟单,项目管理,6500.0,酷泰克保温科技江苏有限公司,南通,0.0,本科,岗位职责1、组织协调施工过程中各方面、各部门之间的关系，解决矛盾冲突，保证项目如期完成；2、跟踪人机物料的需求及进展，监督工程的实施，检查并记录项目的实施计划和进度；3、随时保持与业主代表、船检等沟通，了解客户需求；4、项目资料整理，对项目过程中形成的各类文档进行收集、整理、归档。5、按项目需求，需不定期至项目现场出差；6、完成领导临时交待的其他工作任务。任职资格1、全日制本科学历，英语4级及以上，能简单英语口语交流，专业不限；2、持有C1驾照，有船舶建造、钢结构或者保温行业项目管理经验者优先考虑；2、熟悉Office、Project等办公软件；3、学习能力强，有较强的沟通和表达能力，喜欢且善于与人交流；4、有较强的责任心、团队协作精神；5、思路清晰、善于总结、勤于思考，能承担较大压力。公司体制完善，惜才如金，您若为真金，公司定能为你打造一个展示自己的平台。期待有志之士激情加入！联系电话：0513-82715999。公司网址：,0.0,0.0,0.0,0.0,0.0
184,软件销售主管（项目管理、CRM、OA行业软件）,项目管理,11500.0,速达软件技术（广州）有限公司,广州,3.0,大专,岗位职责：1、根据公司规划制定销售计划、销售方案等，进行销售指标分解和落实；2、具备高效执行力，能够将销售计划转变为销售结果；3、管理销售团队，为团队员工进行培训、指导、监督；4、配合公司运营活动计划，进行产品推广和宣传；5、与客户保持良好的关系，掌握客户需求，及时反馈和跟踪销售疑问。任职资格：1、大专及以上学历，有带团队经验者优先；2、具备较强的学习能力和优秀的沟通能力；3、具备良好的应变能力、抗压能力；4、具备高效执行力和领导力，能够将销售计划转变为销售结果。1、上班时间：5.5天制，公司实行7小时上下班，周一到周五8:30-11:30  13:30-17:30 周六8:30-11:30，避开上下班高峰期，执行国家规定的法定节假日；2、五险一金：医疗保险、养老保险、工伤保险、生育保险、失业保险、住房公积金，入职即购买；3、节日福利：端午节、中秋节、春节等节日发放过节费或礼品，以表同乐之好；4、带薪年假：国家规定的带薪假期外，公司提供额外的带薪假期，让你有机会补充储蓄能量；5、完善的培训机制：入职培训、产品培训、市场营销等培训课程；6、晋升渠道：销售经理-销售副总-销售总监；7、公司环境：90后团队，扁平化管理方式，沟通交流无障碍，让您可以充分展示您的想法和创意，公司与您一同进步，成长。职能类别：										销售主管									关键字：网络销售销售管理,0.0,0.0,0.0,0.0,0.0
185,电力项目管理/电力项目经理,项目管理,6500.0,云南中衡网络技术有限公司,昆明,3.0,大专,、进行项目的施工管理，是施工项目的现场负责人；2、负责施工人员的日常人事管理与工作安排；3、严格按照公司质量、安全、文明施工规范及制度，指导、督促操作班组安全文明施工，保证工程施工质量和进度；4、负责对项目建设甲方、施工队的日常沟通和协调，提交其要求报送的相关信息资料和数据表格；5、负责资料的收集整理及与公司其他部门或岗位之间的沟通与协作；6、为操作班组施工过程协调工作；7、负责施工项目材料工具管理和资金管理工作。任职要求:1、2年以上项目管理经验，有电力行业项目管理经验优先；2、能熟练使用办公自动化（office）；3、具备良好的沟通协调能力及书面表达能力、交际能力和灵活应变能力；4、吃苦耐劳，抗压能力强，具备良好的职业道德和职业操守；5、熟练驾驶，能适应出差。,0.0,0.0,0.0,0.0,0.0
186,项目管理工程师,项目管理,9000.0,日佳力机电工业（昆山）有限公司,昆山,0.0,无,、英语口语能沟通；2、有5年以上注塑项目或冲压项目项目的开发经验，有汽车配件项目开发经验者优先；3、熟悉模具设计、模具加工、注塑、冲压及产品组立、产品测量等作业流程；4、良好的沟通能力及团队意识；5、新项目导入，项目策划与实施跟踪；备注：请注明薪资要求。,0.0,0.0,0.0,0.0,0.0
187,项目管理助理,项目管理,5500.0,杭州宏盛中弘新能源有限公司,杭州,1.0,无,、售前：重点项目参与前期沟通，项目交期及执行给出参考建议；2、售中：安排项目生产计划、图纸计划、交货计划等综合把控及协调项目进度；3、售后：安排产品现场项目问题积极协调处理；4、与技术、采购、销售等部门有力合作，确保项目按时保质完成；5、重点项目交付之后作复盘、分析总结，为后续项目执行提供参考建议；6、项目部门日常工作管理7、会使用ERP任职要求：1、机械、电气、自动化、化工等相关专业本科以上学历，拥有技术工作经验者优先；2、在1年以上项目管理经验，需要定居杭州；3、具有良好的沟通协调能力，工作积极主动，有拼搏精神；4、思路清晰，具有处理复杂事物的能力，能够承受一定的工作压力。,0.0,0.0,0.0,0.0,0.0
188,项目管理,项目管理,5250.0,苏州伟铂瑞信电子科技有限公司,苏州,2.0,中专,岗位职责：1.主导新机种NPI/MP备料工作；2.负责生产计划与EPM/OPM的衔接；3.定期检查和更新SAP计划参数；4.优化计划与跟单的控制过程；5.物料品质、交期异常的协调处理；6.主导循环盘点及相应的行动计划，并优化库存准备率；7.呆废料的预防与控制及替代使用；8.库存分析及行动计划的制定和跟踪。任职要求：1.中专及以上学历，专业不限；2.抗压能力强，有良好的沟通协调能力；3.吃苦耐劳，配合加班。,0.0,0.0,0.0,0.0,0.0
189,青岛工程项目管理底薪10K起+奖金,项目管理,12500.0,山东方寸建筑工程有限公司,枣庄,5.0,大专,岗位职责：  1、组织设计和制订工程建设计划；  2、配合相关部门做好设备安装的设计、概算、招标工程量审核、安装调试等工作；  3、配合施工单位按照相关管理制度、安装图纸、操作规范和进度要求完成土建和设备安装任务；  4、及时处理工程管理中发生的异议和投诉，不断提高服务满意度；  5、对施工现场进行监督管理，做好安全与现场管理工作；  6、建立土建施工等进度记录和台账，做好与施工单位的设备安装图纸等资料的交接存档工作；  7、对土建、设备安装作业量等相关数据进行统计和报表分析，根据分析数据建议对策并向部门经理反馈。  任职资格：  1、大学专科及以上学历，建筑、土木、工民建类相关专业；  2、2年以上工程管理工作经验，有相关行业工程管理经验者优先；  3、熟悉工程项目前期资料申报和施工证照、工程报建报装等办理工作，熟悉项目招标和施工监理工作，能够进行图纸审查和协调工作；  4、熟悉国家相关政策法规，具备与岗位所需的相关专业知识，熟练使用办公软件和CAD制图软件，具有核算统计技能；  5、具有很强的责任心和事业心。    福利待遇：  1：社保公司全额承担。          2：免费食宿         3：提供免费班车   4:超长假期      5：项目停工时，工资照常足额发放。              6：薪资每年一上调。  7：每月十号准时发工资，从不拖欠，14薪,0.0,1.0,0.0,0.0,0.0
190,项目管理工程师,项目管理,11500.0,东莞市贝特利新材料有限公司,东莞,3.0,本科,岗位职责：1、负责项目管理体系的优化、培训推广；2、负责组织项目评审、项目目标管理及项目过程管理等项目管理相关工作；3、负责项目执行过程全程跟进，包括项目进度、项目成本、里程碑任务检查、变更管理、项目绩效等工作，并定期收集各项目进度情况，汇总形成项目状态监控报告；4、协助组织各类项目会议及做好会议记录、文档管理；5、项目相关市场信息收集；6、完成领导交办的其他临时工作。岗位要求：1、本科及以上学历，英语熟练，有化工类相关专业背景的优先考虑；2、熟悉项目管理的基本理论、方法与工具的使用，熟悉项目实施的流程分析、优化能力及项目管理相关知识，有相关项目管理经验的优先考虑；3、熟练操作办公室软件或相关项目管理工具；4、具有较好的沟通协调能力、推动能力，促进信息有效传递；5、具有较好的执行能力和逻辑分析能力；6、有IPD或PMP相关培训经验或证书者优先。,0.0,0.0,1.0,0.0,0.0
191,项目管理高级顾问助理,项目管理,7000.0,福州咸鱼科技有限公司,福州,3.0,本科,岗位描述：以数据分析、运营管控为主的管理咨询，全职。岗位要求：1、年龄25-35岁，本科及以上学历；2、有三年专业咨询经历，工商管理与经济专业者优先；3、大中型企业高管三年以上经验；4、有讲解、辅导、训练企业老板和中高层团队的能力，管理文案的写作能力；5、适应经常外地出差，独立作战能力强。6、热爱咨询工作，愿意把管理咨询做为自己的职业方向。公司福利：1、五险+太平洋保险；2、每年一次健康体检；3、带薪年假；4、工龄津贴；5、弹性工作制；6、出国旅游，一年一次；7、每日餐补；8、每月房补；9、节日福利；10、绩效奖金。,0.0,0.0,0.0,0.0,0.0
192,工程施工/项目管理,项目管理,5250.0,山东福源节能环保工程有限公司,济南,0.0,大专,施工图到后，认真对专业图纸进行审查，及时发现图纸问题，并汇总汇报，参与设计交底和图纸会审工作，并澄清图纸问题；2.根据施工内容和要求选择科学经济的施工方法和工艺，并及时编制专业施工技术措施；3.施工前，根据已审批的专业施工技术措施，组织施工队技术人员及施工人员进行技术交底，并做好记录；4.施工过程中加强过程监督和控制，保证工艺纪律的严肃贯彻，确保施工工艺方法的正确，发现严重违反规程、工艺纪律、规范、标准的行为，应及时制止，并责令其停止施工，同时报告项目部有关领导令其进行整改；5.处理解决施工过程中的技术问题，并对施工过程中的修改、变更等工作及时登记，取得设计、建设单位、监理单位的认可；6.组织各专业的隐蔽工程、重要停检点的专项检查和验收工作，在三检合格的基础上通知业主代表、监理单位、质量监督站和特检所等单位进行联合检查；7.积极参与工序交接、设备材料到货验收工作，并对所检查内容承担相应的责任；8.认真做好阀门试压、安全阀定压、NDT、热处理、理化试验等工作的外协委托工作，并针对结果做出相应的处理；9.及时收集和保存施工过程中的技术记录和资料，并监检施工队各种原始记录的完整性和真实性，按要求认真填写、整理交工资料表格和分项、分部质量评定表，并取得参检单位的认可；10.积极参与项目部组织的质量检查、质量例检会、QC活动、风险评估，并监督所检查出问题的整理和整改工作的落实情况；11.工程竣工后，应按照规范和标准的要求，及时完成竣工资料的编制、装订、工程评定及验收工作；岗位要求：1.机电一体化、建筑工程、工程管理及相关专业大专以上学历未毕业实习生2.已完成学校课业者优先3.适应出差,0.0,0.0,0.0,0.0,0.0
193,项目管理专员,项目管理,5000.0,内蒙古和盛生态育林有限公司,呼和浩特,1.0,本科,、负责公司级各类会议内容的追踪、落实、验证，并定期出具会议督办简报；3、负责PPP业务投委会组织、会议纪要、落实表出具工作；4、负责经营目标落地实施滚动工作规划管理体系督办工作。5、负责公司级制度、流程建立6、负责公司创新管理制度的制定及实施、宣导等工作；7、负责年度创新项目收集、立项、里程碑验证及年度评审工作；8、负责公司合理化建议管理制度的制定、氛围营造及实施、过程监控管理工作；9、负责其他临时性工作。任职要求：1、本科以上学历；2、具有1年以上工作经验；3、有工程项目经验，对园林企业工程项目流程了解。技能要求：项目管理职能类别：										房地产项目/策划主管/专员																			其它									,0.0,0.0,0.0,0.0,0.0
194,项目管理员,项目管理,3250.0,新火炬科技有限公司,襄阳,0.0,大专,对新车型开发、零部件准备工作的推进管理；2. 大日程的制作及公司内部展开；3. 公司内推进状况的确认和推进管理；4. 举行并总结公司内部展开事项会议；5. 客户生产会议、实车评价会的参加和调整；6. 其它临时性事务。任职要求：1、 女，22-25岁，大专以上学历，2、有良好的沟通能力、协调能力及团队协作精神。3、熟练使用办公软件；4、有1年以上项目管理员工作经验优先考虑，优秀应届毕业生均可。,0.0,0.0,0.0,0.0,0.0
195,项目管理师,项目管理,8000.0,深圳美一间文化传播有限公司,深圳,1.0,大专,【岗位职责】1、可管理常规项目，对项目有综合操作和控制能力；2、有较强的沟通协调能力，逻辑性强，愿意尝试，敢于创新；3、能协助项目经理开展工作，协调项目团队，管理，统计，推动项目进行；4、负责编制项目进度表，跟进项目执行的进程，确保每一个项目在执行期内的良好运行；5、调动公司内外部资源，依据公司规划和计划推送项目发展与完善自我成长；6、与设计部门、行政部门及时协调，确保公司业务正常运转。【任职要求】1、大专或以上学历，2年及以上相关项目管理经验，熟悉项目管理流程；2. 学习能力强，善于不断自我挑战创新，敢于担当；3. 有良好的组织、协调、沟通、表达能力及人际交往能力以及敏锐的洞察力；4、在艺术设计、广告创意和品牌营销方面有一定的理论基础和较高的认知能力；具备一定的设计和审美能力。5、具有良好的职业素养和职业道德；做事认真，讲求细节。,0.0,0.0,0.0,0.0,0.0
196,项目管理工程师,项目管理,7500.0,武汉兴通力电源技术有限公司,武汉,3.0,本科,岗位职责1、制定项目总进度计划并进行跟踪；2、负责项目各阶段工作的推进和问题的处理；3、完成部门经理下达的项目运作、跟踪与落实工作；4、完成各阶段工作的推进和问题的处理；5、负责整个项目过程的协调与管理；6、协助确保工程项目按时保量顺利完成。任职资格1、电力、电子或管理类本科及以上学历，年龄在28——42岁之间；2、接受过项目管理PMP或IPMP，建造师等培训、执资格证优先；3、熟悉产品开发及生产制造流程，了解ISO9000及TS16949相关产品开发过程体系优先；；4、具备较强的沟通能力、善于表达、总结和归纳以及执行力；5、五年以上开关电源行业项目管理工程师经验者优先。,0.0,0.0,1.0,0.0,0.0
197,施工现场管理/工程项目管理,项目管理,7000.0,深圳市昶檀净化科技股份有限公司,深圳,0.0,无,"岗位职责：1、驻项目现场管理施工,负责项目现场管理，监督施工工艺；协同项目部领导，保证施工顺利进行，并协助施工监理、与施工班组一同核实工程量、进步工程量精确性。2、负责解决现场装修专业各项问题，负责与与甲方、监理、总包保持良好的沟通，及时反馈解决问题；3、协助工程师进行工程方案设计；4、做到监督节约成本。5、负责工程项目的安全、进度、质量、成本管理控制；6、负责工程材料的采购申请，追踪材料的采购、运输、安装状况；7、负责配合工程进度款的申请、追踪，执行工程合同；8、负责工程收尾及验收。任职资格：1、良好的沟通协调能力，能够承受一定的工作压力；2、具备较强的责任心和忠诚度，能够承担外派驻工地工作任务；3、吃苦耐劳、认真负责、细心严谨、预控性、计划及逻辑能力强，有良好的职业素质和团队精神；4、熟练掌握CAD绘图软件及Word、Excel等办公软件。 5、具有净化工程现场管理经验优先；持有一级或二级建造师优先。",1.0,1.0,0.0,1.0,0.0
198,项目管理工程师,项目管理,7000.0,淳华科技（昆山）有限公司,昆山,0.0,大专,有FPC工作经验者优先2.有英语能力者佳3. 有对应客户者佳4. 品质管控，品质手法工具掌握者佳5. 熟练应用Microsoft工作软件，善于报告撰写及图表整合制作6. 有一定逻辑思维和跨部门沟通协调能力,0.0,0.0,0.0,0.0,0.0
199,项目经理/项目管理人员,项目管理,5250.0,四川省天艺装饰设计工程有限公司,成都,3.0,大专,相关专业毕业、大专文凭、三年以上工作经验。2)   具有良好的人际沟通能力、肯干、有计划性、办事干炼。3)   能制定出用工、材料计划， 熟习安全、质量规范， 能做资料、签证、运用CAD、定额等。、能安排工期并按时完成。4)项目合格交付后有较高的提成。5)   喜欢频繁跳槽者勿扰！                                               公司联系电话：17358577018    公司地址：成都锦江区芷泉段6号“时代一号”25A10房 (地铁2号线、东门大桥站A出口）,0.0,1.0,0.0,0.0,0.0
200,项目管理工程师,项目管理,6250.0,西安微电机研究所,西安,2.0,本科,"职位职责：1、主要负责产品项目的管理，以及沟通协调各种资源保证项目顺利开展和按时完成，整个管理过程包括项目的启动，过程实施及结果交付；2、协助和支持部门负责人制定项目的总体计划；3、定期对项目进展进行跟踪（项目时间计划、预算、质量)及过程管理，确保所有项目过程按时间节点完成，并对各阶段完成结果进行总结和分析；4、负责项目执行过程中及项目完成后与客户的沟通、交流，收集客户需求以及市场信息。任职条件：1、理工科专业，全日制本科及以上学历；2、具有电机或电机驱动控制研发和生产二年及以上工作经验；3、熟悉ISO9000质量管理体系；4、熟练掌握PowerPoint,Excel,Word,AutoCAD等相关工作应用软件；5、有一定的英文听、说、写能力，较强的技术学习能力，英文国家四级以上；6、高度责任感，优秀的团队合作精神，良好的组织能力，较强的沟通协调能力和应变能力；7、很强的逻辑思维和分析能力以及解决问题的能力，良好的语言表达和人际沟通能力，较强的写作能力；8、工作积极主动，吃苦耐劳，有良好的执行力。",1.0,0.0,0.0,1.0,0.0
201,项目管理工程师,项目管理,6000.0,中科同恒环境科技有限公司,厦门,0.0,大专,、工作职责：负责我司环保工程项目的建设实施管理。2、能力要求：具备良好的沟通协调能力；具备吃苦耐劳的精神。3、其他要求：能够适应短期出差。4、福    利：五险、商业保险、出差补贴、节日福利、定期体检、全勤奖等。,0.0,0.0,0.0,0.0,0.0
202,项目管理（RD PM）,项目管理,15000.0,富士康科技集团CNSBG事业群,深圳,1.0,无,"主要工作职掌:1. 与内部研发人员合作新专案design 可行性评估， 开发时程准备已经专案所需相关费用评2. 项目立案,    专案管理与协调， 负责开发schedule以及试产阶段客户交付管控3. 与客户沟通专案进度及需求，定期组织内部开发人员review 专案进行状况4.    开发阶段试产plan control 以及客户样品需求follow up                                          　    　    　    　    　录用条件:1.电子/信息工程/通信工程/英语/管理类2.从事 PM    2年以上的工作经验 ,会使用Mircosoft project 等项目管理工具﹐有PMP 证书更佳3.英语流利﹐能作为工作语言特质要求:工作态度端正，做事认真负责，吃苦耐劳，抗压性强沟通能力强，团队合作精神，执行力强。        ",0.0,0.0,1.0,0.0,0.0
