,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Linux,Ip,Excel,Cad,Tcp
293,海外通信工程项目经理,通信,15000.0,深圳震有科技股份有限公司,深圳,0.0,本科,岗位职责 ：1、在客户现场进行产品导入、技术传递和前期引导；在工程现场指导、引导现场工程师进行产品、系统的部署、升级、更新及技术支持；2、指导和管理工程施工的前期工程设计，按计划提供符合项目交期和预算的设计图纸；拟制方案和报价，管理每个工程项目的预算，并对预算的拟制、控制和结果负责；3、对新版本产品实施试点验证（PoC）和现场实施。4、管理团队，带领团队并领导团队完成目标。岗位要求：1、计算机软硬件、通信工程、英语及相关专业优先，大专或以上学历，5年以上相关工作经历；2、具备国内外知名厂家的实际操作、开局、验收、实施、项目管理、工程管理等相关经验者优先；3、具备通信网络、光传输、光纤到户、室内分布、路测、无线射频等方面的知识基础的优先；4、条理清晰、思维敏捷、努力工作、结果导向，可接受不经常性的加班。5、良好的英语听说读写能力，能使用英语进行简单的技术文档编写及基本的口语技术沟通；6、具有良好的沟通能力，能和项目成员很好地协作，有良好的团队合作精神和严谨的工作态度。能适应与不同国家的同事、客户和合作伙伴和睦相处，并通过团队达成目标。7、一经录用即给予业界有竞争力的薪资待遇，包括工资、补助、年度奖金、项目奖金等。,0.0,0.0,0.0,0.0,0.0,0.0
294,4g通信工程师高薪实习生,通信,7000.0,河南多特通信科技有限公司,洛阳,0.0,高中,岗位：4G网络优化工程师 有无经验都行岗位职责：华为中兴的4G网络规划与优化，主要负责移动、联通运营商的4G网络优化工作，主要负责用户投诉处理、道路测试与分析、网络KPI指标优化与提升，优化报告的输出、重大活动及节假日的网络保障。任职资格：能适应全国范围内的长期出差，都是当地移动公司常驻。有经验的通过面试后上项目，无经验的需参加公司组织的岗前实训，实训后工资，第一月平均4000-8000之间，一年后8000以上，三年后基本在10000以上不限专业和经验，来了有人带最好是大专以上学历，高中或者中专过来需要通过逻辑测试。工作时间：全职、双休、国家法定节假日。,0.0,0.0,0.0,0.0,0.0,0.0
295,美工-500强通信巨头公司（松山湖）,通信,9000.0,上海科之锐人才咨询有限公司,东莞,0.0,大专,、产品线各类活动平面宣传/微信H5/视频设计；  2、产品线各类会议平面宣传/微信H5/视频设计。  3、其它宣传ppt的美化工作，内部网站设计与维护要求：1、大专以上学历，PS/H5/视频软件等其他设计软件熟练应用；  2、服务意识好，积极主动，沟通表达能力强，理解力好；  3、***优先，有活动策划经验、会务组织经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0
296,通信工程师,通信,5250.0,北京千禧维讯科技有限公司,长沙,2.0,无,工作内容：湖南广电日常值班，处理阿尔卡特设备故障、巡检等。任职资格：1、熟悉阿尔卡特OTN1830设备；         2、熟悉阿尔卡特SDH1662、1660设备；         4、具备中兴传输，或华为传输经验优先考虑。5.踏实、爱学、认真负责。职能类别：										通信技术工程师									,0.0,0.0,0.0,0.0,0.0,0.0
297,销售经理（通信模块）,通信,6000.0,上海移柯通信技术股份有限公司,西安,1.0,大专,岗位职责：1.市场开拓：根据市场销售策略，无线通信产品市场，并建立健全客户分析档案；2.客户关系管理：拜访区域客户，积极发掘客户需求，建立客户沟通渠道，及时处理客户异议和投诉。跟踪客户销售状态，预测客户全月和每周提货状态；3.销售信息反馈：收集产品行业相关政策、竞争对手信息、客户信息等，分析市场发展趋势，定期向公司销售总经理及相关部门提供反应营销工作现状的信息，为公司重大决策提供信息支持。 任职条件：1.大专以上学历，电子、通讯相关专业；2.性格外向，为人积极，热爱销售；3.对市场营销工作有深刻的认识，逻辑思维能力强，具备独立的客户沟通、谈判及判断力；4.为人正直、诚实、勤奋，责任心强、敢于承受较大的工作压力；5.有电子产品销售经验优先（无线通信产品优先）；,0.0,0.0,0.0,0.0,0.0,0.0
298,数据通信工程师,通信,7500.0,广东宇成达通信科技有限公司,广州,0.0,大专,						职位描述：三年以上数据网络售后维护工作经验，熟悉主流厂家数通产品；有较强的工作责任心，能够独立完成工作；调试中兴数通设备，并能够独立完成开局、扩容以及升级改造工作；有CCIE或CCNP证书者优先考虑；具备良好的跟客户技术交流和服务意识，能适应频繁出差；具备计算机专业技能，熟练掌握AUTO CAD 或VISIO等应用软件使用技巧；有较强应变能力，有责任心，良好的团队合作精神和沟通能力。职能类别：										数据通信工程师									,0.0,0.0,0.0,0.0,1.0,0.0
299,无线射频通信开发工程师（单片机方向）,通信,12500.0,雅量集团,广州,0.0,无,"工作职责：1. 对现有产品的性能进行软件优化；2. 与硬件工程师协作，进行产品设计，软件代码编写；3. 与测试工程师协作，对产品存在的问题进行维护；4. 编写相关的设计开发程序和文档；5. 服从上级领导的工作安排；要求：1. 熟悉基于单片机的C语言编程，了解51,ARM等单片机体系结构2. 熟悉数据结构，有良好的编程习惯，模块化编程经验3. 熟悉模拟&数字电路，并有一定的设计电路和分析能力4. 熟悉KEIL或者IAR编程工具，能用Altium Designal制图5. 有Zigbee, 433/315HMz,低于1G射频通讯控制的相关经验者优先6. 有开发TI芯片(cc2530,cc1101,cc1310等)或主流低功耗无线射频产品优先【面试地址】广州白云区中心区鹤龙街雅量科技大厦新广州市中级法院对面，相邻律师大厦、龙禧广场三地铁交汇（黄边地铁站、嘉禾望岗地铁站旁）【你可能关心的】1、大小周7小时工作制，假期都按照国家规定来放，放假就是这么任性，心动吗？2、五险，餐费补贴，优越的薪酬回报，培训机制，羡慕吧！3、亲！工作满1年还可以享受带薪年假哦！4、夏天24小时的凉快的空调房，冬天暖烘烘的暖气房，重点还是时不时发放的零食福利！5、休闲室的设备还会持续的update，轻松愉快的工作氛围是我们的目标。6、扁平化管理，面对***你也可以“口无遮拦“，畅所欲言！7、节假日福利，如：春节、五一、端午、中秋、国庆。8、每年公司对每个人免费提供一些活动经费，用于公司集体的游玩。9、每年1-2次的户外拓展活动。10、人性化的管理模式，良好的企业文化和完善的培训体系以及完备的晋升体系，全体员工皆实行公平，公正、公开的对外招聘及职业晋升通道，目前所有的管理层都是从基层做起，故公司可为优秀的应届生提供良好的发展平台及职业规划。11、工资高吗？底薪够你花，额外报酬和业绩挂钩，想拿多少你说话；12、职业发展咧？有能力可跨部门拓展业务知识、提升专业水平、易于晋升高层管理，我们提供人力、物力、财力；13、能力有待提升可以吗？必须是态度端正的人，能力我们负责培养。",1.0,0.0,0.0,0.0,0.0,0.0
300,创投投资总监（限计算机、通信相关专业）,通信,19500.0,上海中汇金投资集团股份有限公司,上海,5.0,本科,岗位职责：1、 根据公司投资战略，拓展投资资源，发掘投资领域的项目和机会；2、 开展行业投资分析，公司投资分析，筛选投资项目，做出评估意见或提出投资     方案；3、 熟悉项目尽职调查、交易结构设计、财务模型构建及合同条件谈判；4、 对拟投资项目进行相关资料收集、项目进行尽职调查等工作，撰写项目尽调报告和投资建议书；5、 负责公司投资项目的投后管理、投资退出等工作；岗位要求：1、 全日制本科以上学历，计算机、电子通信等相关专业；2、 有5年以上VC公司项目投资管理或者相关的投资业务工作经验；3、 涉足的投资领域主要以技术类项目为主，有汽车、智能制造、人工智能、半导体产业、物联网通信、新材料、新能源相关投资经验、产业背景或专业背景这优先；4、 熟悉国家产业政策及相关金融法规、对宏观经济、产业发展趋势有深入研究，对资本市场和产业投资市场有全面理解，对项目前期市场分析、财务分析和项目商业模式有准确把握的能力；5、 熟练掌握投资分析、风险评估、各种投资流程和企业改制、重组、并购、直接投资等方法；,0.0,0.0,0.0,0.0,0.0,0.0
301,通信技术员,通信,5000.0,辽宁云端之上信息技术有限公司,沈阳,0.0,大专,、在工程师指导下负责公司通信设备的调试、检测工作。2、根据内部技术调测通信设备，完善移动信号的覆盖。3、负责公司设备技术档案的整理和保管工作。★任职要求：1、大专及以上学历（18- -28岁）2、通信、电子、计算机、自动化类（条件优秀者可以适当放宽）3、具有良好的判断与决策能力、人际能力、沟通能力、计划与执行能力4.欢迎应届生，不限经验，有工程师带领★薪资福利：1、富有竞争力的薪酬和其他福利津贴；2、双休制和健全的五险一金；3、给予完善的绩效考核，年终奖金及定期调薪；4、完善的培养体系和晋升机制；,0.0,0.0,0.0,0.0,0.0,0.0
302,蜂窝通信测试工程师,通信,7500.0,慧翰微电子股份有限公司,厦门,3.0,本科,岗位职责：1、负责物联网通信模块的功能和性能测试；2、全程参与项目，关注需求分析，需求的可测性，评估项目风险； 3、制定项目测试方案和计划； 4、带领小组实施测试，对软件问题进行跟踪分析和报告，推动测试中发现问题并合理解决；任职要求：1、本科及以上通信相关专业，三年以上蜂窝通信产品的测试经验；2、熟悉测试理论、方法和测试流程； 3、熟悉蜂窝通信原理及相关协议，如3GPP协议，熟悉UE接入流程，各种切换原理等；4、至少有一年以上带团队经验，或有组织过大型项目测试经验；5、满足以上条件，会编程者优先6、热爱测试工作，有高度的工作热情和敬业精神，有良好的沟通交流、团队合作和抗压能力。,0.0,0.0,0.0,0.0,0.0,0.0
303,数字电路设计工程师（通信芯片）1411,通信,25000.0,紫光展锐,上海,3.0,本科,						岗位职责:1.    参与通信系统的架构设计和SOC系统设计；2.    完成模块级结构设计、RTL实现以及相关验证工作；3.    对已有电路进行功能改进和功耗、面积和性能的优化；4.    参与芯片设计整个流程；支持FPGA系统调试；5.    配合软件调试，支持产品量产。 任职资格:1.	通信、电子、计算机等相关专业本科及以上学历；2.	3年以上芯片数字电路设计和验证相关经验；3.	熟练掌握Verilog和相关仿真环境； 4.	深入理解ASIC设计流程； 5.	具备通信系统或网络层系统开发经验者优先；6.	具备良好低功耗和高吞吐IP设计经验者优先；7.	具备良好的沟通能力和团队合作精神。,0.0,0.0,1.0,0.0,0.0,0.0
304,系统工程师（通信导航监视应用方向）,通信,17500.0,中航空管系统装备有限公司,上海,2.0,本科,掌握基本通信系统，卫星测控系统；掌握天线及射频等设备的功能、工作原理及主要指标；2.熟悉4G、5G、移动通信专网、Lora、NB-Iot系统设计应用；3.熟悉物理层算法、链路层协议设计、仿真、调试、实现和测试；4.具备项目管理能力，具备项目总体计划能力。任职要求：1.通信、测控、电子及相关专业，在CNS方面有实际开发经验；2.具有卫星通信、无线通信、信号处理相关专业知识背景；3.具有通信系统测试经验，对无线通信系统各组成部分与耦合关系等有较深入理解，掌握常用的通信算法性能；4.本科及以上学历，思维清晰，有较强的学习能力和创新能力；5.有高动态、自组网无线通信系统与测控系统开发经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0
305,通信设计员（应届/实习）,通信,4000.0,广东原创科技有限公司,淮安,0.0,无,岗位职责：1、负责通信运营商（移动、联通、电信）通信工程建设的传输线路设计工作，负责有关传输项目（包括基站接入、网络优化、光纤物理网、驻地网、视频监控、小区宽带、数据接入等工程）的现场勘察工作（需手绘平面路由图纸和施工路由长度的测量）；2、使用CAD等软件对光缆、管道施工图方案的绘制设计图纸；3、使用办公室软件编制概预算及设计文本。任职要求：1、大专及以上学历，通信、电子、物联网、计算机等相关工科专业；有相关经验者优先考虑，接收应届或实习生；2、身体健康，吃苦耐劳，为人诚信、有责任心和较强的团队合作精神以及良好的沟通能力；3、有良好的工作态度，服从公司工作安排，有严谨的时间观念，执行力强；4、有较强的学习能力和学习欲望，跟上通信行业的业务发展。工作地点：淮安市其它福利：购买五险+福利体检+多劳多得+春节探亲路费报销+部分节假日福利,0.0,0.0,0.0,0.0,1.0,0.0
306,无线通信工程师（南昌）,通信,11500.0,华信咨询设计研究院有限公司,南昌,2.0,本科,主要负责南昌电信无线网络规划、勘察、设计、技术支撑、团队管理等工作，及时与客户和团队进行沟通，保质保量完成上级和客户安排的工作。岗位要求：1、本科以上学历，通信原理、信号与系统等相关专业毕业；2、两年以上相关工作经验，具备移动无线网规划设计经验者优先；3、熟练掌握移动无线专业知识和项目经验，理解国家相关技术参数，熟悉无线设备专业知识；4、熟练运用AutoCAD、Office等常用办公软件，及概预算软件、GoogleEarth等软件；5、具备良好的沟通交流能力，具备良好的计划和执行能力、协调能力；6、积极主动，具备团队意识，具有高度的责任心。,0.0,0.0,0.0,0.0,0.0,0.0
307,专利工程师（通信领域）,通信,16500.0,北京市集佳律师事务所上海分所,上海,2.0,本科,"招聘职位：专利工程师（通信领域）任职资格：1、正规院校，本科及以上学历；2、通信、电子、电气、自动化、物理等相关专业；3、有事务所、公司内部专利工作经验或者研发经历优先；4、英语六级,读写熟练；5、良好的沟通及文字表达能力；6、有专利代理人资格证书者优先。注：特别优异者薪资不限于网页所述。工作职责：撰写本领域专利发明书、答复OA为主；简历接收邮箱：sh-zhaopin@unitalen.com联系人：戴娟",0.0,0.0,0.0,0.0,0.0,0.0
308,通信系统Linux运维工程师,通信,11500.0,杭州诚智天扬科技有限公司,杭州,0.0,无,岗位职责：负责公司在上海/杭州的通信业务系统维护，包括但不限于：1、负责系统的巡检、监控值守、软硬件故障处理、软硬件升级扩容等；2、对客户提交的问题和需求进行响应、分析梳理，沟通协调并转给总部接口人；3、协助业务客户系统对接、编制业务报表、客服投诉技术问题处理等；4、遵守总部和运营商、合作方的管理制度，持续优化，保障系统稳定运行;5、根据需要能短期出差，勘察现场、制订实施方案、实施部署、培训客户等。岗位要求：1、计算机、通信工程等相关专业本科以上学历；2、一年以上通信设备、通信系统运维或技术支持经验，熟悉Socket、TCP/IP、HTTP、通信网络知识或网络协议等；3、必须有通信设备软硬件调测经验，如网优、IP-PBX、SIP电话网关、光通信、NFV、熟悉移动通信核心网七号信令经验尤佳；4、熟悉Linux及常用服务（如Nginx等），熟悉简单的SQL语句；5、工作认真负责、细致、沉稳；遇事冷静从容，能承受压力；沟通交流能力良好。                                                        有独立或作为主要负责人实施一个业务系统的项目经验,0.0,1.0,1.0,0.0,0.0,1.0
309,通信设备安装调试（可实习）,通信,5250.0,沈阳悦动新锐网络工程有限公司,沈阳,0.0,大专,"任职资格：专科及以上学历,30周岁以下较强的学习能力，初期有资深工程师带队（接受应届生）；负责相应通信工程现场的协调工作；对工作开展提出合理意见；对智能网产品、电网信令标准有兴趣；具有较强的逻辑思维力、创造力；岗位职责：辅助工程师做项目 有无经验者均可具有良好的职业素养和团队协作能力团结积极向上有责任感福利待遇 ： 早8:30晚5点，双休，提供住宿及五险一金，节假日正常休息项目奖金+带薪年假+五险一金+双休+法定假日",0.0,0.0,0.0,0.0,0.0,0.0
310,通信技术工程师,通信,3750.0,京信通信系统（中国）有限公司安徽分公司,合肥,0.0,本科,"岗位要求：1、大学本科以上学历，通信工程、电子信息工程相关专业；2、能熟练操作计算机，熟练使用AUTOCAD绘图软件；3、熟悉通信原理,熟悉GSM、CDMA、WCDMA、TD-SCDMA等技术知识；4、有良好的沟通能力、团队合作精神，能吃苦耐劳，2019年毕业生； 5、热情主动，性格开朗，细心有责任心，能吃苦，团队意识强。岗位职责：1、 对项目进行现场勘测，设计项目方案，设备调试及维护，对整个项目管理的全过程进行监控和改进，以确保整个项目准时和保证质量的完成。2、能够在安徽省内各地市提供技术解决方案支持工作。",0.0,0.0,0.0,0.0,0.0,0.0
311,通信仪表测试工程师,通信,7000.0,北京湛腾世纪科技有限公司,上海,0.0,大专,工作职责：1.测试CMCCNS及AQ等仪表测试2.独立跟踪初步分析失败问题并提交bug3.熟识CMCC规范及白皮书变更及测试标准变更4.跟踪维护仪表状况和问题，及时与厂商沟通任职要求：1.具有LTE协议及性能的基本概念2.了解通信的架构和工作原理3.踏实耐心细致，勤于思考，用于面对问题4.通信专业及相关模块经验者优先,0.0,0.0,0.0,0.0,0.0,0.0
312,通信/传输维修员,通信,5250.0,苏州市轨道交通集团有限公司物业保障分公司（设施管理公司）,苏州,3.0,大专,岗位要求 ：1.40周岁以下，身体健康，无色盲、色弱等；2.全日制大学专科及以上学历，通信工程、电子工程、通信网络、计算机等相关专业；3.通信中级工及以上。其他要求：1.三年以上相关工作经验，具有轨道交通专用/民用通信系统设备及相关通信系统安装调试、维护的经验；2.具有华为、中兴、阿尔卡特等厂家SDH传输及接入设备安装调试经验者优先考虑；3.良好的团队合作精神、沟通表达能力及组织协调能力。本岗位用工方式为劳务派遣，交社保。,0.0,0.0,0.0,0.0,0.0,0.0
313,通信系统软件工程师,通信,22500.0,上海飞语网络科技有限公司,上海,3.0,本科,、负责开发维护语音通信系统；2、负责Android，iOS，Web等终端语音模块的开发和维护；3、负责全媒体通信系统的开发和维护；岗位要求:1、计算机、网络、通信专业相关，全日制大学本科以上学历，3年以上工作经验；2、熟悉TCP/IP网络通信协议和Socket编程；3、熟悉SIP、RTP等VoIP相关协议，对各类通信协议（WebRTC，RTMP等）有一定的了解；4、熟练掌握Linux下C/C++设计与编程，有服务端开发经验，熟悉分布式系统开发；5、熟悉Freeswitch、Asterisk、Opensips、Linphone、PjSIP等相关开源软件；6、有视频通信软件开发经验者优先；7、有Lua语言，或者nodejs开发经验者优先；,1.0,1.0,1.0,0.0,0.0,1.0
314,通信普工操作工,通信,5000.0,沈阳讯科华诺通信技术有限公司,沈阳,0.0,大专,岗位职责：、1、根据领导指令，完成相应的现场测试、技术施工、技术支持、售后服务等日常工作；2、对客户故障及投诉具有一定的分析和解决能力，并能在要求时限内及时解决；3、根据领导要求完成工程项目档案资料的信息搜集整理和提交；4、按要求对工程进度及必要细节进行反馈薪资待遇：1.入职签订劳动合同、五险一金2.早8晚5、国家法定节假日、周六日双休、带薪年假等3.待遇优厚，五险一金，双休，法定假日。4.薪酬=基本工资+五险一金+餐补+房补公司具有较大的晋升空间，半年后岗位工资5000以上。如有一年半以上相关工作经验者薪资在,0.0,0.0,0.0,0.0,0.0,0.0
315,招聘通信管理人员，要求带职称或者带建造师,通信,2916.67,成都竹节虫人力资源服务有限公司,成都,5.0,大专,四川**通信集团有限公司公司是注册在四川省成都市的通信工程施工公司，现在应业务发展需要面向全国招聘一级通信建造师，通信专业高级职称持有人员公司主要从事通信工程的安装、施工等工作。要求：（1）入职公司购买社保，且社保为全国***社保，不得在其他地方购买社保（2）年龄在25-60周岁之间，男女不限（3）工作地点，四川成都（4）通信建造师合同期限为两年，通信高级职称合同期限为1年（5）通信建造师要求考取建安B证，通管B证证，培训费用由公司支付，且要求带有通信工程的业绩（5）工资待遇4000/月，不考勤。,0.0,0.0,0.0,0.0,0.0,0.0
316,通信监理工程师/监理员,通信,3750.0,重庆鼎信建设监理有限公司,拉萨,1.0,大专,主要工作内容：一、监理工程师：1参与编制监理规划，负责编制监理实施细则。2审查施工单位提交的涉及本专业的报审文件，并向总监理工程师报告。3指导、检查监理员工作，定期向总监理工程师报告本专业监理工作实施情况。4处置发现的质量问题和安全事故隐患。5参与工程变更的审查和处理。6组织编写监理日志，参与编写监理月报。7收集、汇总、参与整理监理文件资料。8参与工程竣工预验收和竣工验收。二、监理员：1检查施工单位投入工程的人力、主要设备的使用及运行状况。2进行见证取样。3复核工程计量有关数据。4检查工序施工结果。5发现施工作业中的问题，及时指出并向专业监理工程师报告。能力要求：1按照建设工程监理规范的要求履行监理工程师和监理员的职责。2具有一定的通信专业基础者优先，包括：传输、数据、电源、业务平台软件等专业。3具有大专以上学历，监理员1年以上工作经验，监理工程师3年以上工作经验。4工作认真负责，执行力强，有团队合作精神，能按质、按量完成总监下达的任务。5有一定的沟通协调能力，表达流畅，思维清晰。 6. 身体素质较好，能够适应高原气候。,0.0,0.0,0.0,0.0,0.0,0.0
317,电话营销专员(通信行业),通信,7500.0,南京数坤信息科技有限公司,南京,1.0,大专,"岗位职责：1.经过公司培训，销售VPN业务与国际专线接入业务等，为客户提供网络解决方案。2.通过电话沟通, 寻求销售机会，并努力完成各项销售指标。3.有IT通信行业或熟悉数据通信/电信服务的优先考虑。福利待遇：1.底薪5-10k/月+高提成+月度考核奖金+业绩达标奖。2.周末双休，国家法定假日休假，带薪年假。3.专业的带薪入职培训+实用的在职培训+进阶段培训。4.为员工缴纳五险一金。 晋升路线：销售代表-见习销售经理-销售经理-销售总监",0.0,0.0,0.0,0.0,0.0,0.0
318,嵌入式软件开发（无线通信协议方向）,通信,20000.0,浙江企朋网络技术股份有限公司,深圳,2.0,本科,职责描述：1.负责嵌入式系统软件的设计和开发；2.负责嵌入式系统软件中Modem相关问题的分析和解决；3.负责嵌入式系统软件与后台系统的对接、联调；4.负责编写相关的技术文档。任职要求：1.熟练使用嵌入式C/C++语言；2.熟悉高通/MTK平台手机软件Modem的开发经验；3.熟悉Modem/RIL相关技术；4.Linux，Android等操作系统2年以上开发经验。,1.0,1.0,0.0,0.0,0.0,0.0
319,通信测试工程师-应届生,通信,9000.0,上海态特网络科技有限公司,上海,0.0,无,任职要求：1.本科(含)以上学历，物理、 通信、电子、电磁场、微波等相关专业优先；2.能够熟练操作网络分析仪，频谱仪等设备的优先；3.较强的沟通和表达能力，吃苦耐劳，思维敏捷，善于沟通，学习能力强。关于测试：测试范围主要包括2G、3G、4G、LTE等制式的手机及各类无线终端在内的通信产品。测试分类：射频、协议、音频、MTBF、业务应用、EMC、安全、SAR、OTA、环境可靠性等技术。（入职后根据个人选择其中一个测试方向专业发展）（公司有专业的专家，可以跟随学习，后期发展成以上其中一项的专业测试人员）补：公司拥有资深的行业专家和经验丰富的测试团队，致力于为客户提供CTIA、PTCRB、GCF、CE、FCC、A-TICK、IC及运营商准入等各种国际认证检测申请一站式服务，同时提供CTA认证的全面预测试服务。是华东区最大的移动通信检测实验基地职能类别：										射频工程师									关键字：通,0.0,0.0,0.0,0.0,0.0,0.0
320,通信设计工程师,通信,17500.0,广州市元峰电力有限责任公司,广州,3.0,大专,岗位要求：1、通信工程等通信类专业，全日制大专及以上学历；2、三年及以上变电站通信设计经验，能独立完成110kV及以下变电站通信专业设计工作；3、从事新建、改建110kV及以下变电站通信专业可研、初步设计、施工图设计及竣工图编制等工作；4、电脑操作熟练，掌握cad、office等办公软件；5、熟悉南网典型设计、电网公司相关发文、企业标准，国家及行业设计规范；6、服从性较好、工作积极、认真负责，能适应短期出差工作；7、能独立完成220kV及以下变电站、光伏发电工程通信专业设计工作者优先。,0.0,0.0,0.0,0.0,1.0,0.0
321,通信信号专监、监理员,通信,4900.0,铁科院（深圳）研究设计院有限公司,深圳,0.0,大专,轨道交通通信、信号工程相关专业；有相关施工或监理经验本职位主要工作内容：城市轨道交通通信或信号工程设备采购、安装、调试等过程监理工作，包括相关监理内业工作。,0.0,0.0,0.0,0.0,0.0,0.0
322,通信电源工程师,通信,12500.0,深圳市顺点财务顾问有限公司,深圳,2.0,本科,"岗位1：充电电源硬件工程师  2名  岗位要求：   1、学历要求：本科及以上，优先硕士(211,985硕士等学历优先)。 2、专业：电力电子、控制工程、电气工程、自动化等相关专业 3、经验：1年以上充电桩、通信电源或电力电源等电源项目开发工作经验。 4、熟悉功率电路设计，电磁元件设计，逻辑电路设计，热设计。 5、熟悉Buck，Boost，移向全桥，LLC等常用拓扑； 6、熟悉功率管、二极管、电阻、电容等常用元器件选型； 7、能独立思考、分析和解决问题，勤奋刻苦，细致认真，具备团队合作能力。 8、有1KW以上功率模块化电源产品：通讯电源、电力电源、汽车充电电源等开关电源开发经验优先。   工作职责： 主要负责汽车充电电源等产品的设计、电路仿真、器件选型与设计，定制器件设计，设计验证测试，测试问题解决，相关技术文档输出等工作。       岗位2、车载电源硬件工程师 1名    1.本科以上学历，电气、电力电子、自动控制、自动化等相关专业。 2.对单板及整机工艺有较深理解，能给出密封腔体电源设计的工艺方案；  3.有车载电源、车载充电机或DCDC电源开发经验一年以上（至少有一个成熟上市的产品项目经验），对主流车厂的电源规格比较了解，对车载电源相关标准、法规比较熟悉优先；  4.对大功率高频开关电源的layout有较深理解，能指导PCB工程师布局及走线；  5. 熟悉功率电路设计，电磁元件设计，逻辑电路设计，有一定理论基础，能进行电路参数计算、损耗估算、磁元件计算，熟悉功率管、二极管、电阻、电容等常用元器件选型； 6、熟悉Buck，Boost，移向全桥，LLC等常用拓扑，有一定的结构知识，能指导结构工程师给出符合车载应用的结构方案；  7.有磁性元件设计与制作经验，能指导外协厂工程师完成符合实际应用的磁元件样品；  8.对开关电源中用的元器件如电容、电阻、连接器、二极管、mos管的生产工艺及原材料有较深了解。   工作职责：全面负责协助车载DCDC电源项目。   备注：以上岗位必须有车载电源、车载充电机或车载DCDC的项目经验。",0.0,0.0,0.0,0.0,0.0,0.0
323,通信软件开发工程师（MPLS）,通信,17500.0,上海博达数据通信有限公司,上海,3.0,本科,岗位职责:1、根据产品实现需要，完成MPLS相关特性的研发工作；2、负责公司数通产品上现有MPLS相关功能的维护工作；3、完成部门安排的其它工作。任职资格:1、计算机、通信等相关专业本科及以上学历；2、精通MPLS L2VPN、L3VPN，有1年以上的MPLS研发经验；3、熟悉RSVP、LDP、BGP；4、英语水平达到CET-4及以上，具备英文技术资料阅读能力；5、拥有良好的工作态度，积极上进，具有团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0
324,光通信销售专员,通信,6500.0,上海天诚通信技术有限公司,武汉,2.0,大专,、大专及以上学历；2、有2年以上光通信行业技术或销售工作经验；3、在有源和无源行业里有销售渠道资源者优先；4、负责光晶圆和芯片渠道的开发以及引入新的产品；5、工资为底薪，另有提成。,0.0,0.0,0.0,0.0,0.0,0.0
325,通信工程师,通信,11500.0,成都府河电力自动化成套设备有限责任公司,成都,2.0,本科,、协助项目经理完成项目系统设计和集成工作2、根据系统软件需求分析，组织相关模块的具体设计3、进行关键技术模块的设计、实现4、编写项目文档、检查程序代码质量5、指导测试工作6、指导低级别工程师业务工作 本科及以上学历，通信系统、自动控制或者计算机相关专业，2年及以上通信产品开发经验；任职要求：1、熟悉linux、VxWorks、OSE等嵌入式系统的开发环境；2、熟悉TCP/IP协议，熟悉通信网络协议，精通C/C++等编程语言，了解数据结构，了解软件编写测试的过程。3、熟悉嵌入式系统的编译过程，了解各种自动化脚本的编写和修改；4、掌握L2交换技术，熟悉BCM、MAVL交换芯片，VLAN、QinQ、L2多播、路由、MPLS；熟悉以太交换，VLAN、QinQ、风暴抑制；熟悉路由器、交换、网关产品，并有相关产品研发经验；5、具备良好的英文资料阅读和理解能力，学习能力强，责任心强，善于沟通。                        6、熟悉软件项目的一般开发流程；学习能力强，富有创新意识，有良好的沟通能力和团队协作精神；,1.0,1.0,1.0,0.0,0.0,1.0
326,通信技术工程师双休+五险+提成,通信,3750.0,沈阳天诚极米科技有限公司,沈阳,0.0,中专,"岗位要求：1、18-30岁，中专及以上学历。2.责任心强，有良好的团队精神和亲和力3.懂办公软件操作，有意向长期往技术方向发展4.能吃苦、学习能力强，做事积极、细心福利待遇：社会保险：五险一金,5天8小时工作制,双休,无需加班休息时间：周末双休，法定节假日休息，带薪年假/病假/产假/婚丧假节日贺礼：传统佳节派发节日礼品以增添节日气氛生日派对：过生日的员工，有公司生日派对以表祝福生活关怀：定期体检，设有员工休息室，提供微波炉、饮水机等便捷设备。工作地点: 办公环境优美，地理位置优越，地铁站口及公交站附近薪资构成：基本工资+奖金+岗位津贴+丰厚年终奖",0.0,0.0,0.0,0.0,0.0,0.0
327,营业/销售 光通信技术,通信,9000.0,广州泽盛机电设备有限公司,广州,1.0,无,要求？年齢は35歳以下。希望は27－32歳くらい。男女問わず。？光通信業界の経験者。？出張が可能な方　（主に華南地域へ毎月１回、１週間程度）？日本語の出来る方が希望ですが、できなくても可です。 会日语优先 不会也可以 企业简介：日资贸易公司   上班地点：天河 勤務条件·就業時間：9：00～17：30，休憩12：00～13：00·昇給：年1回（4月）·賞与：年1回（12月）·有給休暇：入社半年経過後8日～最高15日·試用期間：2ヶ月·社会保険：養老、失業、医療、生育、工傷、公積金·備考：社会保険の個人負担無し（会社負担となります）；住宅公積金は会社負担12％、個人負担12％の計24％。個人負担分も会社が負担します。,0.0,0.0,0.0,0.0,0.0,0.0
