,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Pcb,C,Protel,Ic,Qc,Arm
108,高级电子应用工程师（LED智能照明）,电子/半导体,14583.33,江西众光照明科技有限公司,上饶,5.0,大专,跟进智能照明新技术及相关智能部件的更新，现有智能照明控制系统的维护和升级；2.负责为客户提供高效的售前、售后问题解决方案；3.负责相关产品资料的编制；4.负责策划新LED智能照明产品的开发；5.负责为销售人员提供技术支持和培训；6.参与、指导生产部门的新产品批量生产，使之工艺正规化，流程化、熟练化；7.负责PCB设计，元器件选配与认证；8.产品量产生产工艺支持。任职要求1.有LED智能照明控制方案规划，控制系统架构设计能力；2.具有LED照明控制设计经验、Zigbee、蓝牙BLE、DALI、PLC、WIFI、DMX512、射频、无线通信相关经验者优先；3.有良好的团队合作精神及责任心，服务意识强，勤恳踏实、乐于学习、沟通表达能力较好。职能类别：										电子技术研发工程师									,1.0,0.0,0.0,0.0,0.0,0.0
109,电子工程师+包吃住+大小周工作制,电子/半导体,7000.0,深圳市东鼎丰电子有限公司,深圳,1.0,大专,、电子应用相关专业，大专以上学历；2、两年以上电子产品设计经验，熟悉3C数码产品或小家电产品设计与开发；3、熟练使用Protle99、PADS、Altium Designer等PCB设计软件；4、有较强的责任心，良好的团队协作能力，沟通能力，谦虚踏实；我们的福利： 1、大小周工作制2、入职即买社保（养老保险、医疗保险、生育保险、工伤保险、失业保险）3、免费提供食宿（四菜一汤，三荤一素；住宿2~4人一间房）4、每月请假不超过4小时享有全勤奖5、法定节日发放各种礼品6、外请专业老师，每周一节上免费瑜伽课,1.0,1.0,0.0,0.0,0.0,0.0
110,产品工艺工程师/半导体工艺工程师,电子/半导体,5000.0,无锡艾科斯电子有限公司,无锡,0.0,无,						1.、大专以上学历，电子专业优先；2、 2年以上电感/高频变压器/互感器产品生产、管理工作经验；3、懂电感/高频变压器/互感器开发和制造工艺；4、能配合客户完成电感、高频变压器的样品制作和批量化生产（包括产品制作流程记录、确认作业规格书、工艺改善、品质改善等）；5.、工作积极主动，合作性良好，具备团队精神工作。6、有私车和驾照。薪资待遇：薪资：4000--6000、五险一金、另加提成，提供中餐联系人：武经理13921174575地址：无锡市新区菱湖大道200号 中国传感网国际创新园E1栋403室																		,0.0,0.0,0.0,0.0,0.0,0.0
111,电子实习生,电子/半导体,3750.0,苏州福新特电子科技有限公司,苏州,0.0,大专,岗位要求：1. 电子信息工程等相关专业，大专以上学历；2. 有良好的沟通和表达能力；有责任心和进取心3. 学习能力比较强4. 能够认真完成领导分配下来的任务；岗位职责：1. 产品生产、组装、调试、及技术支持等岗位实习；2. 实习期后依据实际能力确定岗位。福利待遇：五险一金、享受国家规定的法定节假日、年休假等。,0.0,0.0,0.0,0.0,0.0,0.0
112,电子维修，电子技术,电子/半导体,5250.0,广州市双泰电子科技有限公司,广州,3.0,中技,三年以上电子维修工作经验，男女不限、年龄18--35岁。3 能看懂电路图，有开关电源，适配器，充电器维修经验佳。4 主要负责售后客退管理，会统计数据分析。5 大中专电子技校毕业，有无经验可以在职培训。6 主要岗位：电子测试，产线QC， 电子老化， 产线维修与售后维修等岗位提供。7 无经验者必须电子技校毕业，头脑灵活，动手能力强。月休4天，包吃包住，不扣水电费，每个月有生活用品发放，保低+加班费，也可按能力定直接拿月薪。职能类别：										技术支持/维护工程师																			技术文员/助理									,0.0,0.0,0.0,0.0,1.0,0.0
113,资深电子设计工程师,电子/半导体,12500.0,科沃斯机器人股份有限公司,苏州,3.0,本科,任职要求：1、  本科以上学历，电子信息、电气、通讯相关专业；2、  3年以上PCBA开发设计经验；小家电行业的优先；3、  熟练PCBA layout，有丰富的电器元件的选择经验；4、  熟悉锂电池pack，开关电源，充电器的相关知识；5、  熟悉EMC标准，能够完成EMC问题的设计整改；7、  有丰富的传感器知识；8、  有一定的PCBA品质控制及检测经验。岗位职责：1、  根据市场或项目需求，负责对新品电器部分的可行性分析2、  项目过程中电器部分的设计开发、验证及问题改善3、  制订电器及电子相关规格书4、  量产中重大电器问题的改善5、  项目电器部分的风险识别以及规避,0.0,0.0,0.0,0.0,0.0,0.0
114,电子工程师,电子/半导体,9000.0,东莞迈翔电子有限公司,东莞,3.0,大专,"，经验：工作经验3年以上。熟悉TMDS, I2C，LVDS信号，PIC单片机编程。3，工作事项：负责电子产品的坏品分析，推进电子产品的质量改进。职能类别：										电子工程师/技术员									",0.0,1.0,0.0,0.0,0.0,0.0
115,电子工程师（精通汇编）,电子/半导体,9000.0,广州市倍尔康医疗器械有限公司,广州,3.0,本科,岗位职责：1、红外测试产品的改进；2、新项目的研发；3、产品数据测试。岗位要求：1、精通C语言和汇编语言；2、有算法基础和有三年以上相关经验优先考虑；3、英语4级以上。,0.0,1.0,0.0,0.0,0.0,0.0
116,半导体销售,电子/半导体,8000.0,上海恳利新电子科技有限公司,上海,3.0,大专,岗位职责：1.对产品的了解及相关技术的学习；2.了解物联网或者汽车电子市场；针对整个市场情况，有明确的市场策略；3.能够独立进行销售工作，对无线电子产品有较深入理解；4.具有独立的分析和解决问题的能力；良好的沟通技巧和说服能力，能承受较大的工作压力；5.坦诚自信、乐观进取、高度的工作热情，有良好的团队合作精神，敬业精神。任职要求：1.学历要求：大专以上学历2.工作经验：具有三年以上相关工作经验，有MCU产品经验者优先3.技能要求：熟悉电子、通讯行业，具有较强的专业技术背景4.英语要求：具有良好的听说读写能力5.电脑要求：MS Office操作熟练6.个性素质：具有良好的沟通协调能力，分析解决问题能力7.年龄要求：26-40 岁,0.0,0.0,0.0,0.0,0.0,0.0
117,制程工程师//汽车电子,电子/半导体,7500.0,铱斯电子科技（上海）有限公司,上海,3.0,本科,、负责产品制程开发/产品测试规划2、负责制程（PFMEA/SOP)文件编写3、负责制程不良品分析改善4、协助研发对产品进行测试试做验证5、领导安排的其他工作岗位要求1、电子通信类或自动化控制专业2、电子产品制程开发2年以上经验3、有摄像头生产经验者优先4、有汽车类产品生产线工装软件开发设计经验者优先5、英语四级以上,0.0,0.0,0.0,0.0,0.0,0.0
118,电子厂高薪急聘操作工月7K+新人入职补贴2200-2800,电子/半导体,6500.0,铧泰科技,深圳,0.0,无,新增部门，工厂订单猛增，月入7000元，工资稳定待遇好，公寓式宿舍，就等你来；本厂一直女多男少，急需补充大量男工，热切期待你的加入；现新员工入职奖高达3000元，感谢您能看到我们工厂的招聘信息；欢迎致电招募部主管，致电者优先安排。1、纯工价18-20元/小时。保底工时260个小时。每月有260-300个工时。2、福利补贴：岗位津贴500元/月，绩效奖励300元/月，优秀员工奖200元/月，外宿补贴300元/月。3、综合收入：4800元—5800元/月。二、正式工待遇综合底薪：正式工2300-2650元/月（5天8小时制计算），综合薪资4500-6000元/月。1、2300元底薪加班费计算：周一至周五每天加班2—-3小时，每小时加班费20/小时，周六加班10小时，每小时加班费26.43元/时。每年一次考核加薪，考核合格加薪幅度为200--500元，入职越久底薪越高。年底（双薪）及年终奖金3000-4000元。2.转正2650元底薪加班费计算：周一至周五每天加班2小时，每小时加班费22.84元/小时，周六加班10小时，每小时加班费30.45元/时。每年一次考核加薪，考核合格加薪幅度为200--500元，入职越久底薪越高。年底（双薪）及年终奖金3000-4000元。招聘岗位：装配、物料、品检、测试、维修、外观、包装、仓管、文职、技术员（全部岗位无需工作经验）两种薪资待遇（可任选）一、小时工待遇1、纯工价18-20元/小时。保底工时260个小时。每月有260-300个工时。2、福利补贴：岗位津贴500元/月，绩效奖励300元/月，优秀员工奖200元/月，外宿补贴300元/月。3、综合收入：4800元—5800元/月。4、加班比较多，平均一天上10-11小时。5、做满7天就有工资，辞职提前3天打报告，可短期或长期做。6、小时工综合工资的高低取决于个人加班时数的多少，临时工加班自由，不限制加班。二、正式工待遇综合底薪：正式工2300-2650元/月（5天8小时制计算），综合薪资4500-6000元/月。1、2300元底薪加班费计算：周一至周五每天加班2—-3小时，每小时加班费20/小时，周六加班10小时，每小时加班费26.43元/时。每年一次考核加薪，考核合格加薪幅度为200--500元，入职越久底薪越高。年底（双薪）及年终奖金3000-4000元。2.转正2650元底薪加班费计算：周一至周五每天加班2小时，每小时加班费22.84元/小时，周六加班10小时，每小时加班费30.45元/时。每年一次考核加薪，考核合格加薪幅度为200--500元，入职越久底薪越高。年底（双薪）及年终奖金3000-4000元。3、入职签订劳动合同，7号发工资，不压工资，工资发到你的银行卡。三、工作内容1、岗位涉上市电子产品的组装、组立、检测、包装、插件、品质、测试、物料等岗位2、无需经验；生手熟手均可；生手进厂后有老员工带。四、车间环境1、车间配有：饮水机，休息间。2、车间配有中央空调（冬暖夏凉）。3、都是坐着上班，不需要穿防尘服，穿的是普通工衣。4、上班气氛好，管理宽松，车间在上班时间，会播放轻音乐。5、上班时间：每天上10—11个小时，每2小时休息15分钟；每周休息1天，每月休息4天。五、招工要求1、男女不限；18至45周岁。2、必须持本人真实有效身份证。3、无需工作经验。4、当天应聘人员需带齐行李物品+身份证件，当天安排厂内住宿。六、提供食宿1、进厂当天，统一发饭卡，刷卡吃饭，不用自己掏钱充值。2、饭堂：有粤菜、湘菜、川菜等窗口，有米饭，也有小食水饺、馒头、面包、鸡蛋等。吃饱为止，持厂牌即可刷卡就餐。3、提供住宿，6-8人一间，房间大。4、宿舍配备无线网络、独立卫生间、洗澡间、空调、学习桌、热水器等用品。,0.0,0.0,0.0,0.0,0.0,0.0
119,电子行业销售代表（IC销售）（坂田泽润中心）,电子/半导体,14000.0,深圳市众澳诚芯科技有限公司,深圳,1.0,大专,"任职要求：1、30岁以下，男女不限，全日制大专以上学历，理工专业优先；有良好的自我驱动力、表达沟通能力、逻辑思维能力，执行力强、办公效率高、团队配合能力强，抗压能力强。2、2年以上电子元器件代理商或原厂销售工作经验优先。3、3年以上电子行业销售经验，熟悉代理商模式，如何找客户，分析客户，如何谈订单。4、熟悉电阻、电容，熟悉国产MOS、IC的代理推广模式优先。熟悉TI、NXP、ADI、MAXIM、ST、ON等进口半导体。准备长期在电子元器件行业发展，认可销售提成制度、事业合伙人制度，希望通过勤奋与努力获得应有的回报。有销售野心、追求成长的90后，或者销售工作经验1、2年的伙伴，加入我们众澳诚芯团队。职位描述：1、通过网络、电话、拜访等方式与全球电子制造企业,ODM、OEM、EMS等建立合作关系，面向电源类整机类生产厂商、LED路灯照明、消费电子类、汽车电子类生产工厂推广。2、团队合作（PM、SALES、FAE）,推广公司优势的产品线，收集信息，把握客户机会，常规料、紧缺料等。3、为客户Supply优势的成本/供应链解决方案，大概包括但不限于这几种众澳诚芯特有的方式：在Design阶段为客户CostDown、BOM优化策略、紧缺料提前分析预案、现货解决方案、库存呆料及时变现处理方案等等。4、敏锐的嗅觉，寻找并争取订单，收集客户反馈并写出工作报告；协助财务部门催收应收账款。 我们为您提供的福利：1、行业的背景与强大的知识体系，提供专业、完善的培训课程，理论与实践的学习，良好的入职培训与辅导上岗。2、高底薪+高提成制度；明确的晋升计划。3、事业合伙人制度，年终分红。4、每周工作五天，周末双休，享受国家的法定节假日；享受社保、年终奖金及每月全勤奖，优秀员工奖。5.话费补贴：每月享有话补，按照不同岗位享受不同话补6.油费补贴：对使用个人汽车进行外勤的销售、市场、技术类员工按照职级享受补贴油补7.高温补贴：每年6月至10月每月享有高温补贴8.康体活动：公司每周二举行羽毛球活动9.婚假、产假、丧假、法定节假以及其他节假日按国家法定规定享有10.年假：转正后即按服务年限给予3-15天的年假11.端午、中秋礼品：每年端午、中秋享有礼品发放12.年终奖：根据公司的利润，按照工作绩效享有年终奖13.其他福利：公司每季度举行多种活动，包括不限于生日会、聚餐、K歌、体育比赛、团队旅行等。",0.0,0.0,0.0,1.0,0.0,0.0
120,聘电子厂普工/质检员包吃住6800,电子/半导体,7000.0,广州嘉行网络科技有限公司,深圳,0.0,初中及以下,"为了你第一时间报名成功录入你的资料，请尽量致电咨询报名致许小姐17817318953（请直接致电或添加微信报名）新开产线，大量招聘新开部门，上班轻松，当天安排面试、当天安排入职、当天安排住宿、带薪培训、包吃包住、综合5000-6500元/月左右，由自已选择部门、普通工衣、环境好、加班多，自愿选择加班。入职可借支!招聘岗位：普工、生产工、操作工、装配工、维修员、包装工、插件、SMT、CNC、QC、QA、分检、测试、扫描、贴标签、物料员。主要是对手机电子产品、手机配件、集成电路、通讯设备、车载导航、半导体、打印机等进行生产制造和组装加工，或来料加工、打包装等等。工作轻松，简单易学！.公司优势：1、加班多、工资高，稳定。薪资福利有保障、晋升空间大；2、四到六人间宿舍，配套设施完善，条件优越；3、免费提供三顿工作餐，入职当天发饭卡，让您省钱省心；4、体检免费，面试当天安排住宿。(可自己选是否买社保五险一金)全勤奖（200）岗位津贴(100-500)绩效奖（200-400）综合补贴1000元以上，折算小时工18-20块一小时，包住吃，每天上8-11个小时，综合工资4500-5600块/月工资待遇：1、底薪2300-2650(晋升机制)，周一到周五每小时20元，周六周日每小时27元，节假日40.5元，每月轻轻松松上5000元2：按时计算：18-20元/小时：每天176～220（元/天），轻轻松松！3：按时计算：18-20元/小时：每天176～220（元/天），轻轻松松！4、每周5天8小时制，(8:00-17:00)，加班随个人意愿(多劳多得)5、平日加班2-3小时，平日加班1.5倍工资，周日2倍工资，节假日6倍工资(每月可休息4-5天)5、公司执行白晚两班制，夜班津贴12元/晚(如不适应夜班可上常白班).福利待遇：免费包吃住，入职免费提供免费饭卡以及工作用品；食免费提供一日3餐（标准餐）午、晚餐标准、丰盛；住公司提供4人间公寓房，24小时热水，WIFI，独立卫生间，有空调和洗衣房。行外宿员工，全范围内厂车免费接送上下班；入职可以选择是否购买社保+五险一金；.工厂上班时间两班倒：早8点到晚8点，晚8点到早8点；大部分坐着上班，有吃饭、休息时间。月休4天左右。【应聘须知】1、应聘者请带好本人有效身份证件2、不带行李统一视为外宿不分配宿舍(因公司是当天安排吃住的,不带行李不安排宿舍)请大家最好备齐行李物品，以免来回折腾）",0.0,0.0,0.0,0.0,1.0,0.0
121,电子工程师,电子/半导体,8500.0,深圳国威电子有限公司,深圳,2.0,大专,大专或以上学历，年龄在20-40岁之间，电子专业毕业，有电话机设计经验优先。,0.0,0.0,0.0,0.0,0.0,0.0
122,外贸业务员（华强北，电子元件）,电子/半导体,5250.0,深圳市壹芯微科技有限公司,深圳,0.0,高中,"职位要求：1）有1-2 年外贸相关工作经验者优先。2）英语听、说、读、写皆熟练。3）有阿里巴巴、中国制造等B2B外贸平台操作经验者优先。。5）有亚马逊、速卖通等B2C平台操作经验者优先。5）有通过google主动搜索开发客户经验者优先6 ) 有电子元器件从业经验优先。本公司成立于2009年，专业生产二三极管以及从事国际知名品牌电子元器件分销业务。因生产和销售规模不断扩大，公司诚招外贸销售业务人员。公司提供丰厚的薪水和优越的平台, 助力业务人员飞速成长。公司生产部门在光明新区公明街道，销售部门（上班地点）设在繁华的华强北商业圈，交通便利，行业氛围浓厚。公司官网：www.szyxwkj.com有意者请踊跃投递简历。也可直接电话联系：153 3874 9656联系人：黄生",0.0,1.0,0.0,0.0,0.0,0.0
123,高级电子销售工程师,电子/半导体,7000.0,深圳市宝威利电子有限公司,深圳,2.0,大专,岗位职责：1、积极收集客户信息与市场信息，及时把握机会挖掘新的潜在客户；2、定期进行客户的拜访、业务沟通、了解客户的新需求，策划合作方式；3、完成与客户的业务谈判与合同签订任务，做到销售货款的及时回收；4、与客户进行良好的沟通，保证及时反馈客户与市场信息，加强产品在市场上的影响力；5、记录、汇总大客户对公司产品和服务的所有评价和要求等信息，并加以整理分析，形成报告向上级汇报；6、为客户提供符合公司要求的专业服务，保证当期销售业绩目标的实现及稳定提高。任职要求：1、熟悉安防监控、蓝牙耳机、车载、消费类等行业；2、有芯片或PCBA的销售经验，有一定的相关行业客户资源和人脉关系；3、热爱销售工作，并有良好的客户服务意识；4、具备良好的沟通能力，口头表达能力强；5、具有团队合作精神和灵活的应变能力，有责任感，认真勤奋，有较强的学习能力；6、熟悉产品及营销技巧、负责发掘及开拓客户资源。7、身体健康、五官端正，男女不限。8、自已有车的优先录取。公司地址：深圳市宝安区宝源路168号名优工业产品采购中心B座618室欲了解更多公司及产品情况，请投简历，我们会预约通知过来面试。高底薪、高提成、高奖金，丰厚待遇，欢迎有志之士和优秀的销售人才加盟我司。,0.0,0.0,0.0,0.0,0.0,0.0
124,电子工程师,电子/半导体,5250.0,杭州天丰电源股份有限公司,杭州,0.0,大专,大专及以上学历，电气或电子一体化（偏电气）专业，会简单的电气控制，懂电子电路，有锂电池PACK工装开发经验优先，,0.0,0.0,0.0,0.0,0.0,0.0
125,电子硬件工程师,电子/半导体,12500.0,深圳市三分之一睡眠科技有限公司,深圳,2.0,本科,、负责硬件系统设计及相关文档撰写；2、参与硬件解决方案评估，器件选型；3、负责电路原理图、PCB设计、硬件调试及配合相关其他专业工程师进行联调；4、参与硬件成本控制，风险控制和质量控制；5、编写生产相关文档，配合生产部门进行生产；6、指导试生产和小批量生产，编写用于生成工艺文件的测试指导书。任职要求1、本科以上计算机、通信电子或相关专业，应具有一定的背景知识，了解一定的硬件基本构架知识；2、两年以上工作经验；3、有蓝牙（Bluetooth）、2.4G无线网络项目经验4、应具有一定的硬件设计知识背景，了解一定的硬件产品开发流程；5、细致、稳重，应具有一定的组织能力、团结能力和协作协调能力以及软硬件技术背景。,1.0,0.0,0.0,0.0,0.0,0.0
126,电子工程师,电子/半导体,7000.0,深圳市维邦云计算技术发展有限公司,深圳,1.0,大专,、熟悉使用Keil或IAR等单片机编程工具；有嵌入式系统软件设计经验，熟悉常用的MCU(51、PIC、STM32等)，熟悉常见接口/协议（如R232，SPI，I2C，LIN，CAN）；3、熟练使用示波器、万用表、烧写器、编程器等工具；4、有一定的英文数据手册阅读能力；5、有汽车电子产品开发经验者并有测试工装制作经验者优先；6、优秀的计划与执行能力、沟通能力、谈判能力、工作责任心、主动性、学习能力；任职要求：1、根据项目分配的任务完成测试治具以及针床的设计，包括PCB图及软件设计；2、负责测试流程设计，具体工装针床设计、调试、维护、版本管理；3、对接并协助解决生产过程中的测试问题。职能类别：										电子工程师/技术员									关键字：示波器万用表烧写器编程器PCB绘图,1.0,1.0,0.0,0.0,0.0,0.0
127,电子装配工,电子/半导体,3250.0,中兵航联科技股份有限公司四川分公司,成都,0.0,中专,一、职责：1、服从分配、听从指挥，严格遵守各项操作规程和各项规章制度，使生产规范化；2、随时检查设备的运行状态，做好日保工作，发现问题及时上报处理，保证生产安全操作；3、在生产过程中，发现生产出的产品质量有问题时，应停止生产，及时处理或上报；4、节约能源、爱惜材料，对落地的材料、产品废弃物及时捡起，分料盒隔离放置，杜绝浪费因素；5、当班人员不准私自离开岗位，离岗时必须经制造经理的同意；6、对产品的操作，员工应提高创新能力、提高工作质量和工作效率，人人都应具有提高企业形象的意识；7、每天下班时，清理工作台面和机器设备清洁，台面卫生，做好卫生值日工作，日常负责打扫车间清洁卫生。8、对生产产品的质量及不认真作业，造成浪费或完不成指定生产任务负责。9、对因工作不认真或不按照规格操作，造成身体伤害负责。,0.0,0.0,0.0,0.0,0.0,0.0
128,诚聘电子工程师（电声器件）,电子/半导体,9000.0,宁波东方电子有限公司,宁波,0.0,本科,、电子类相关专业，本科以上学历；2、电子专业知识过硬，精通相关绘图软件；3、从事电子工程师相关工作2年以上。上班时间：8:00-16:30 近双休（每月最后一周的周六需要上班）公司提供集体宿舍、高温费、过节费、加班费、年终奖，依法缴纳社保等。欢迎有意者投递简历，简历合适者请至公司面试详谈，谢谢。,0.0,0.0,0.0,0.0,0.0,0.0
129,电子厂直招坐班普工6800包食宿+美女多,电子/半导体,7000.0,东莞市酷柏电子设备有限公司,深圳,0.0,无,"有意者可直接拨打招聘电话人事部林先生175-760-25713，可优先安排面试、入职和员工宿舍分配。谢谢！包吃住， 免费招工：19-20元短期工+正式工2350-2650底薪+加班费+奖金工厂现有员工数千人,有长白班岗位安排，包吃住，当天安排宿舍。注意：所以入职员工做满一个月（除工资奖金之外）奖励500元.做满两个月（除工资奖金之外）奖励800元，做满三个月（除工资奖金之外）奖励1000元做到年底报销回家路费1500元【薪资福利】一．正式工待遇1、正式工：6000-7000元/月。2、每个月7-15号准时发工资，不压工资。3、底薪2250--2600元，加班费按劳动法算，平时加班1.5倍，周末加班2倍，法定节假日3倍；平均每天加班2至3小时，加班自由，不限制加班。5、每月有：岗位津贴100元-500元，绩效奖100元-300元，全勤奖等等。二．短期工待遇1、短期工：18-22元/小时（按岗位）。+农民工批量安置2、每月有：260个—280个工时。3、短期工收入：4800元—6200元/月。4、岗位津贴100元-300元，绩效奖100元-400元.每周可预支工资300-500元短期工综合工资的高低取决于个人加班时数的多少，临时工加班自由，不限制加班。1、可以自愿选择做 临时工（或）长期工。2、每月15日发放薪资。3、辞工需要提前七天提交离职单。4、辞职当天走当天结清所有工资，不压工资。5、工厂人性化管理:如有困难【进厂当天可以预支工资+每周可预支工资限500元/内】。6、由于订单足，上班时间比较稳定，每天工作10-11小时。7、公司为员工购买：工伤、医疗、养老保险（。8、【晋升】公司每年考核员工工作表现（表现好的员工）将获得：调薪、选拔晋升（技术职位、管理职位）。9、公司会安排完整的培训，以便员工能够较早熟悉环境及进入工作，不用担心没有经验.。10、平时活动：为丰富员工业余生活,经常举行各种活动及比赛，奖金非常雄厚。11、娱乐设施：图书馆、篮球场、兵乓球、羽毛球、台球、等各种娱乐设施全部免费为本厂员工开放。12、节日、生日福利：生日时为每位寿星赠送精美的生日礼物。三：工作内容1、岗位涉上市电子产品的组装、组立、检测、包装、插件、品质、测试、物料、等岗位2、无需经验；生手熟手均可；生手进厂后有老员工带。3、因目前订单增加，特向社会高薪招聘：普工、操作工、包装员、质检员、正式工、临时工。-车间环境1、车间配有：饮水机，休息间。2、车间配有中央空调（冬暖夏凉）3、坐着上班，少量站班，不需要穿防尘服，穿的是普通工衣。4、上班气氛好，管理宽松，-招工要求1、男女不限；18-45周岁。2、学历不限3、身体健康，无大面积纹身。4、本人身份证（临时身份证也可以）。-免费食宿（包吃包住）1、进厂当天，统一发饭卡，刷卡吃饭，不用自己掏钱充值。2、饭堂：有米饭、粤菜、湘菜、川菜、窗口，小食有水饺、馒头、面包、鸡蛋、吃饱为止，持厂牌即可刷卡就餐。3、免费提供住宿、6-8人一间，房间大。4、宿舍配备WIFI、独立卫生间、洗澡间、空调、学习桌、热水器等用品-报到须知：男女不限，只要你年龄符合：18岁—45岁，请你直接带上（身份证）和（行李）和过来报到，我们会当天下午6点之前，安排您住进公司宿舍，第2天开始上班请打电话人事部林先生1757-6025-713，可优先安排面试、入职和员工宿舍分配。谢谢！职能类别：										普工/操作工																			组装工									关键字：小时工正式工包食宿免费招聘美女多有空调加班稳定工资高福利好普通工衣",0.0,0.0,0.0,0.0,0.0,0.0
130,EE/电子工程师（蓝牙电子产品）,电子/半导体,13000.0,骷髅音响（深圳）有限公司Skullcandy Audio (Shenzhen) Ltd. Co.,深圳,0.0,本科,"PRIMARY RESPONSIBILITIES:Works within a team to develop, validate, and commercialize a variety of electrical design projects for consumer level audio products including wireless technology, TWS, ANC, sensor technology, and audio performance optimization.Reviews and completes project documents for accurate specification and quality assurance.Reviews and completes project EE test flow chart, PCB debug, RF antenna optimization and all the FA analysis.Generate the EBOM, EE data base, and maintain in Arena systemReviews operational procedures to ensure compliance with applicable policies and performance measures, or actively support the product regular compliance tests.Support the team to make the proper decision for the EE changes according to the ECR/ECN Process. Working proactively on the projects continuous improvement.Complete the tasks assigned by manager and timely report to manager. Plans, schedules, or coordinates the preparation of documents or activities for multiple major projects.Routinely interacts with clients, customers, suppliers, contractors, and others.REQUIRED SKILLS AND QUALIFICATIONS:BS Degree or above in Electronics, 5 – 8+ years’ experience on BT headphone and speakers. Experience with Bluetooth, TWS and ANC products system design and integration, test and debug PCBA, and familiar with acoustic quality improve  Schematic design and PCB layout experience.Experience with CSR or other Bluetooth chip platform design ,and BQB test requirementExperience with PADS software and ECM,EMI compatible on PCBA designExperience with developing and validating the manufacturing process and test set upSkillful communications and coordination. Ability to work under pressure.Fluent with written English. Good oral English skills will be preferred.Frequent travel is required.Ability to work in team-based and multi-cultural environment.Passionate, adaptable, fast-response, comprehensive, self-motivating, independent, and charming leadership.Detailed mind and willing to learn new technology.",1.0,0.0,0.0,0.0,0.0,0.0
